"OOS_Kpi_ActualValue","OutOfStock_OOS_Actual","RetailStore_StoreType","StoreProduct_InStoreLocationType_Assets","StoreProduct_InStoreLocationType_Bin","RetailStore_RetailStoreGroup_Name","StoreProduct_Favorite","StoreProduct_InStoreLocationType_Other","Product_Name","State_City","StoreProduct_InStoreLocationType_Backroom","Product_Family","RetailStore_Name","RetailStore_Priority","Product_ProductCategory_Name","StoreProduct_InStoreLocationType_Shelf","LastYearSamePeriod_Number_of_Promotions","Inventory_LastVisitInventoryCompliance","Quantity_Previous_Period","DaysUntilLatestPromotionEnds","Facing_Compliance","Inventory_Compliance","Inventory_DaysSinceInventoryComplianceCheck","DaysAfterLastPromotionStarted","Quantity_Change_Percentage_vs_Coming_Period_LastYear","Promotion_Compliance","Quantity_Coming_Period_LastYear","RetailVisitKpi_Number_of_Promotions","Quantity_Current_Period","RetailVisitKpi_StoreProduct_Visits","DaysAfterLastPromotionEnded","OutOfStock_DaysSinceOOSComplianceCheck","ShareOfShelf_Compliance","OutOfStock_Compliance","Store_Visits","Compliance_DaysSinceLastComplianceCheck","OrderItem_DaysSinceLastOrder","Quantity_Change_Percentage_vs_Previous_Period"
"True","False","Regular","No","No","Midwest","No","No","Pre - 0.5L PET - Tart Cherry","AK - Anchorage","No","Sprinkler","NTO Store - Ferry Plaza Market","High","Toddler Nutrition","No",0,35.38961,0,0,0,53,57,0,0,0,1146,0,1146,43,0,36,86.19,45,49,36,44,0
"False","True","Regular","No","No","Northeast","No","No","Alpine Cooler","OH - Hamilton","No","Diet Food","Fare Merchants - Irving","Low","Teen Nutrition","No",0,100,0,0,0,89.87,33,0,0,0,2084,0,2084,57,0,5,88.96,33.96,67,5,0,0
"True","True","Regular","No","No","Northeast","No","No","Alpine Energy Premium Smart Dispenser","TX - Irving","No","Diet Food","Alpine Nutrition - San Francisco","Low","Diet Food","No",1,100,0,0,90.65,98.97,62,873,0,0,1611,5,1611,51,0,11,0,53.06,57,11,46,0
"True","False","Regular","No","No","West","No","No","Alpine Energy Premium Smart Dispenser","CA - San Jose","No","Diet Food","Nutrition Stop - Kennesaw","High","Diet Food","No",0,80.87774,0,0,85.99,90.44,34,854,0,0,2094,5,2094,59,0,5,0,41.18,68,5,43,0
"True","True","Regular","No","No","Midwest","No","No","Pre - 0.5L PET - Tart Cherry","SD - Sioux Falls","No","Sprinkler","Fare Merchants - Gold Coast","High","Toddler Nutrition","No",0,100,0,0,40,75,47,881,0,0,2315,1,2315,55,0,39,79.66,32.08,62,39,34,0
"True","True","Regular","No","No","Midwest","No","No","Pre - 0.5L PET - Tart Cherry","OH - Chagrin Falls","No","Sprinkler","Rondel Store - Austin East","Medium","Toddler Nutrition","No",0,100,0,0,0,100,27,0,0,0,1902,0,1902,45,0,7,79.55,17.5,54,0,14,0
"True","True","Regular","No","No","Midwest","No","No","Alpine Cooler","OH - Chagrin Falls","No","Diet Food","Rondel Store - Austin East","Medium","Teen Nutrition","No",0,84.1954,0,0,82.19,94.73,47,0,0,0,1786,0,1786,45,0,0,0,33.33,54,0,48,0
"False",,"Regular","No","No","South","No","No","Pre - 0.5L PET - Tart Cherry","OH - Ashland","No","Sprinkler","NTO Store - Dublin","Low","Toddler Nutrition","No",0,100,0,0,94.23,92.74,44,880,0,100,1894,1,1894,40,0,0,68.54,100,48,1,22,0
"False","True","Regular","No","No","South","No","No","Alpine Energy Premium Smart Dispenser","CA - San Jose","No","Diet Food","Alpine Nutrition Outlet (Hayward)","Medium","Diet Food","No",0,100,0,0,99.97,100,22,863,0,0,1313,5,1313,56,0,0,0,40,64,0,6,0
"False","False","Regular","No","No","West","No","No","Alpine Cooler","CA - San Jose","No","Diet Food","Nutrition Stop - Kennesaw","High","Teen Nutrition","No",0,100,0,0,0,100,113,0,0,0,1562,0,1562,59,0,5,84.71,50,68,5,43,0
