Scope,SubScope,Date,LastProcessedDate,Account,AccountExternalId,AccountId,EmissionsLabel,Emissions
Scope 2,Scope 2 Location Based,2022-07-04,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - LY,497
Scope 3,Scope 3,2023-02-20,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Market Based,2020-10-22,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-3,2900
Scope 1,Scope 1,2021-05-21,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-2,2700
Scope 1,Scope 1,2021-08-29,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - CY-2,750
Scope 3,Scope 3,2023-06-24,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Market Based,2022-03-31,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - LY,384
Scope 2,Scope 2 Location Based,2020-08-18,2023-12-07,All,,,All - Scope 2 LB - CY-3,33000
Scope 2,Scope 2 Market Based,2020-12-14,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-3,2900
Scope 2,Scope 2 Location Based,2022-08-18,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - LY,497
Scope 3,Scope 3,2023-01-18,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY,12892
Scope 1,Scope 1,2021-11-03,2023-12-07,All,,,All - Scope 1 - CY-2,18000
Scope 3,Scope 3,2023-04-09,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY,2904
Scope 1,Scope 1,2020-03-25,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - CY-3,4000
Scope 2,Scope 2 Market Based,2022-10-14,2023-12-07,All,,,All - Scope 2 MB - LY,25095
Scope 2,Scope 2 Location Based,2021-07-20,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 3,Scope 3,2023-01-22,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY,2904
Scope 1,Scope 1,2022-06-13,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - LY,3072
Scope 2,Scope 2 Market Based,2020-03-26,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-3,600
Scope 2,Scope 2 Location Based,2021-05-24,2023-12-07,All,,,All - Scope 2 LB - CY-2,27500
Scope 2,Scope 2 Location Based,2020-07-21,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - CY-3,4200
Scope 1,Scope 1,2022-05-09,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 1 - LY,3072
Scope 3,Scope 3,2021-10-21,2023-12-07,All,,,All - Scope 3 - CY-2,94500
Scope 2,Scope 2 Market Based,2023-11-01,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY,400
Scope 3,Scope 3,2023-03-14,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 3 - CY,2904
Scope 2,Scope 2 Market Based,2020-09-02,2023-12-07,All,,,All - Scope 2 MB - CY-3,28500
Scope 2,Scope 2 Location Based,2022-01-18,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 LB - LY,4051
Scope 1,Scope 1,2021-08-09,2023-12-07,All,,,All - Scope 1 - CY-2,18000
Scope 1,Scope 1,2022-05-15,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 1 - LY,1034
Scope 3,Scope 3,2023-06-27,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY,12892
Scope 2,Scope 2 Location Based,2020-06-07,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY-3,800
Scope 2,Scope 2 Market Based,2021-04-26,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
Scope 3,Scope 3,2023-08-27,2023-12-07,All,,,All - Scope 3 - CY,96087
Scope 2,Scope 2 Location Based,2021-01-26,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 LB - CY-2,550
Scope 1,Scope 1,2020-06-05,2023-12-07,All,,,All - Scope 1 - CY-3,25000
Scope 2,Scope 2 Market Based,2022-03-31,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - LY,3235
Scope 1,Scope 1,2020-09-15,2023-12-07,All,,,All - Scope 1 - CY-3,25000
Scope 2,Scope 2 Market Based,2021-05-22,2023-12-07,Yubo LATAM,SupplierAcct204,,Yubo LATAM - Scope 2 MB - CY-2,300
Scope 3,Scope 3,2023-10-23,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 3 - CY,12892
Scope 2,Scope 2 Location Based,2022-02-10,2023-12-07,All,,,All - Scope 2 LB - LY,30345
Scope 2,Scope 2 Market Based,2021-08-30,2023-12-07,Yubo Corporation,SupplierAcct203,,Yubo Corp - Scope 2 MB - CY-2,2500
