"Business_Region","Supplier","Scope_3_Emissions_tCO2e"
"AMER","*Greenstone Products LTD",0.14984
"AMER","*Greenstone Products LTD",0.95512
"AMER","*Greenstone Products LTD",0.92498
"AMER","*Greenstone Products LTD",0.66959
"AMER","*Greenstone Products LTD",0.52682
"AMER","*Greenstone Products LTD",1.00851
"AMER","*Greenstone Products LTD",0.74048
"AMER","*Greenstone Products LTD",0.90927
"AMER","*Greenstone Products LTD",0.09216
"AMER","Green Fields Media",0.41165
"AMER","Green Fields Media",0.09782
"AMER","Green Fields Media",0.24956
"AMER","Green Fields Media",0.45522
"AMER","Green Fields Media",0.01965
"AMER","Green Fields Media",0.03391
"AMER","Green Fields Media",0.42439
"AMER","Green Fields Media",0.10956
"AMER","*Greenstone Products LTD",0.97621
"AMER","*Greenstone Products LTD",1.98682
"AMER","*Greenstone Products LTD",0.15894
"AMER","*Greenstone Products LTD",0.40982
"AMER","*Greenstone Products LTD",0.43127
"AMER","Constellation Energy",0.00475
"AMER","Roseburg Products Co",42.12186
"AMER","Roseburg Products Co",17.1005
"AMER","Roseburg Products Co",0.33137
"AMER","Gusto Sound and Audio",0.00482
"AMER","Glasgow Catering",0.02453
"AMER","Five Winds Project, LLC",0.04401
"AMER","Red Studio Designs",40.73178
"AMER","Red Studio Designs",0.00213
"AMER","Red Studio Designs",15.71042
"AMER","Office Print & Ship Services",131.41317
"AMER","Office Print & Ship Services",0.01783
"AMER","Office Print & Ship Services",36.56155
"AMER","Harmon Consulting",0.00407
"AMER","Good Freight Co",0.40956
"AMER","*Greenstone Products LTD",1.01463
"AMER","*Greenstone Products LTD",0.27585
"AMER","Glasgow Water",0.50857
"AMER","RCE, Inc.",14.32035
"AMER","RCE, Inc.",39.34171
"AMER","RCE, Inc.",0.00525
"AMER","salesforce.com",0.03981
"AMER","salesforce.com",43.51193
"AMER","salesforce.com",210.56011
"AMER","ABC Woodworks",38.72395
"AMER","Test Supplier",0.25837
"AMER","Test Supplier",3.19205
"AMER","Xcel Energy",0.97815
"AMER","Advanced Communications",0.22521
"AMER","Advanced Communications",0.56818
"AMER","Advanced Communications",0.03779
"AMER","Allied Technologies",0.05421
"AMER","Allied Technologies",2.80827
"AMER","Allied Technologies",0.68815
"AMER","Allied Technologies",0.73152
"AMER","Allied Technologies",6.58396
"AMER","Allied Technologies",6.58396
"AMER","Allied Technologies",2.6418
"AMER","Allied Technologies",0.56072
"AMER","Associated Supply Co.",3.49232
"AMER","Associated Supply Co.",47.14576
"AMER","Associated Supply Co.",0.00549
"AMER","Associated Supply Co.",0.01316
"AMER","Associated Supply Co.",0.01446
"AMER","Associated Supply Co.",49.50305
"AMER","Associated Supply Co.",31.66255
"AMER","Associated Supply Co.",6.36215
"AMER","Associated Supply Co.",0.01243
"AMER","Associated Supply Co.",3.56359
"AMER","Associated Supply Co.",265.36932
"AMER","Associated Supply Co.",34.04576
"AMER","Associated Supply Co.",6.17684
"AMER","Associated Supply Co.",0.01491
"AMER","Big Sky & Sons",0.18243
"AMER","Big Sky & Sons",0.25939
"AMER","Big Sky & Sons",0.4114
"AMER","Big Sky & Sons",0.27595
