"GHG_Scope_3_Category","LastProcessedDate","Supplier","Date","Supplier_Expenses","Emission_Value","Ratio","Scope_3_Emissions","Vehicle_Emissions","Stationary_Sources_tCO2e","Other_Emissions"
"Business Travel","2023-03-24","RCE, Inc.","2022-04-06",34380,123,8,2207,120,153,221
"Upstream Leased Assest","2023-03-24","Good Freight Co","2021-11-16",20413,234,13,1234,412,123,1234
"Purchase Goods and Services","2023-03-24","Test Supplier","2023-02-17",35756,800,20,3112,234,322,355
"Downstream ","2023-03-24","CityCab","2019-12-06",11853,112,8,2312,112,278,345
"Capital Goods","2023-03-24","British Airways","2020-10-29",44905,2200,1,3421,234,322,221
"Upstream Transportation and Distribution","2023-03-24","JetBlue","2022-10-22",42230,750,19,1234,412,123,345
"Investments","2023-03-24","Advanced Communications","2020-06-26",16662,123,18,2207,120,278,1234
"Purchase Goods and Services","2023-03-24","Meridian Partners","2023-10-24",25750,750,17,3421,112,153,355
"Investments","2023-03-24","Haven Enterprises","2021-09-17",48728,234,18,2312,412,123,1234
"Business Travel","2023-03-24","Associated Supply Co.","2019-05-20",15583,112,14,3112,234,322,355
"Capital Goods","2023-03-24","KLM","2020-08-14",13909,800,14,2312,120,278,221
"Upstream Transportation and Distribution","2023-03-24","Lyft","2019-08-04",41875,123,6,3112,112,153,345
"Upstream Leased Assest","2023-03-24","Laine Ltd","2023-01-29",21992,234,14,2207,120,153,345
"Downstream ","2023-03-24","Hilton","2021-02-13",21565,112,17,1234,234,123,221
"Downstream ","2023-03-24","Universal Containers","2022-10-18",36466,112,12,3421,112,278,1234
"Upstream Transportation and Distribution","2023-03-24","SoloTaxi","2023-11-18",10695,234,15,2312,412,322,355
"Upstream Leased Assest","2023-03-24","Green Fields Media","2022-11-14",22343,750,3,3112,120,123,221
"Investments","2023-03-24","Harmon Consulting","2021-05-29",28036,123,19,2207,234,153,1234
"Purchase Goods and Services","2023-03-24","Xcel Energy","2019-09-10",39856,800,11,3421,412,278,345
"Business Travel","2023-03-24","Vand Enterprises, Inc.","2020-05-08",47578,112,18,1234,112,322,355
"Capital Goods","2023-03-24","Universal Services","2023-11-27",34646,2200,15,2207,412,123,345
"Investments","2023-03-24","General Utilities","2022-08-03",25184,234,1,3112,112,322,221
"Upstream Leased Assest","2023-03-24","Alamo","2021-08-23",21758,123,13,2312,234,153,355
"Business Travel","2023-03-24","Atlas Inc","2020-06-08",14414,112,7,3421,120,278,1234
"Downstream ","2023-03-24","*Greenstone Products LTD","2019-07-05",42746,234,3,1234,112,278,345
"Capital Goods","2023-03-24","ABC Woodworks","2021-03-21",49045,2200,15,1234,412,123,355
"Purchase Goods and Services","2023-03-24","Hyatt","2023-10-17",33909,800,14,3112,234,322,221
"Upstream Transportation and Distribution","2023-03-24","Momentum Design","2022-12-31",12298,123,6,3421,120,153,1234
"Upstream Transportation and Distribution","2023-03-24","Big Sky & Sons","2020-09-12",28626,112,4,2207,120,322,355
"Business Travel","2023-03-24","Uber","2019-02-15",26890,234,6,2312,234,278,221
"Purchase Goods and Services","2023-03-24","Constellation Energy","2019-12-26",31451,800,18,2312,412,153,1234
"Capital Goods","2023-03-24","Air France","2020-08-10",14954,2200,10,3421,112,123,345
"Investments","2023-03-24","Allied Technologies","2023-10-01",22666,123,17,3112,112,123,355
"Downstream ","2023-03-24","Office Print & Ship Services","2021-01-14",28321,234,17,1234,412,153,1234
"Upstream Leased Assest","2023-03-24","Air Canada","2022-07-18",10666,112,2,2207,120,278,221
"Purchase Goods and Services","2023-03-24","UlyssesNet","2019-10-03",38211,800,16,1234,234,322,345
"Business Travel","2023-03-24","United Airline","2022-02-15",48562,750,1,3112,112,153,345
"Upstream Transportation and Distribution","2023-03-24","Southern Solutions","2020-06-02",49561,123,8,3421,412,322,355
"Upstream Leased Assest","2023-03-24","Delta Airlines","2023-06-15",37619,234,17,2312,120,123,221
"Capital Goods","2023-03-24","Marriott","2021-04-22",40045,2200,3,2207,234,278,1234
"Investments","2023-03-24","Employnet","2022-01-20",21087,112,3,3421,412,278,221
"Downstream ","2023-03-24","Budget","2021-03-06",32511,123,2,3112,234,322,345
"Upstream Leased Assest","2023-03-24","Red Studio Designs","2023-12-03",35939,112,13,1234,120,153,355
"Upstream Transportation and Distribution","2023-03-24","Glasgow Water","2019-06-15",48488,234,8,2207,112,123,1234
"Capital Goods","2023-03-24","Pinnacle Partners","2020-10-15",36438,2200,8,2312,112,153,1234
"Purchase Goods and Services","2023-03-24","Five Winds Project, LLC","2019-04-20",11772,800,13,3112,412,322,345
"Investments","2023-03-24","Enterprise","2023-07-30",40679,123,15,2207,234,123,355
"Downstream ","2023-03-24","Valley Supply Inc.","2022-08-31",34682,234,10,3421,120,278,221
"Business Travel","2023-03-24","Glasgow Catering","2021-07-30",44444,123,20,2312,120,322,345
"Upstream Transportation and Distribution","2023-03-24","Tech Labs","2020-12-12",36828,112,19,1234,412,153,1234
"Purchase Goods and Services","2023-03-24","Avis","2019-07-28",22209,800,18,3112,234,123,221
"Upstream Leased Assest","2023-03-24","Gusto Sound and Audio","2022-03-29",31950,750,3,1234,112,278,355
"Business Travel","2023-03-24","Hertz","2023-02-27",37538,234,3,3421,120,123,221
"Investments","2023-03-24","IHG","2021-12-02",23435,112,1,2312,234,322,355
"Downstream ","2023-03-24","Roseburg Products Co","2020-03-09",30571,123,2,2207,412,278,345
"Capital Goods","2023-03-24","salesforce.com","2023-11-14",40355,2200,15,3112,112,153,1234
"Business Travel","2023-03-24","RCE, Inc.","2022-05-02",23379,112,4,3421,112,322,345
"Upstream Leased Assest","2023-03-24","Atlas Inc","2021-11-28",15601,123,5,1234,234,123,355
"Capital Goods","2023-03-24","Allied Technologies","2019-07-15",31094,2200,19,2312,412,153,221
