"AccountId","ReportPeriod","LastProcessedDate","BusinessRegion","CountryCode3Digits","ActivitySourceType","AssetType","Asset","Country","AssetExternalId","AccountExternalId","AssetId","AccountName","AverageRisk","WaterRisk","WaterStress","AverageWithdrawal","AverageQuantifiedRisk","QuantifiedRisk","AverageConsumption","AverageDischarge","AverageStress"
,"2013-09-06","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,80,288,541,40,288,403,90
,"2016-01-08","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,20,16041,486,20,17101,15043,40
,"2020-01-04","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,70,288,403,90
,"2022-01-08","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,60,16041,486,90,17101,15043,40
,"2016-01-06","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,30,16041,486,40,17101,15043,40
,"2020-11-22","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,70,288,541,70,288,403,90
,"2021-12-26","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,80,288,403,90
,"2016-06-06","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,30,17101,15043,40
,"2021-05-05","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,80,288,541,90,288,403,90
,"2022-05-29","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,60,16041,486,90,17101,15043,40
,"2021-05-26","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,50,16041,486,80,17101,15043,40
,"2013-03-07","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,80,288,403,90
,"2016-09-18","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,20,16041,486,30,17101,15043,40
,"2022-07-20","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,80,288,541,90,288,403,90
,"2014-11-18","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,10,16041,486,30,17101,15043,40
,"2017-08-20","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,60,288,541,30,288,403,90
,"2018-03-02","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,60,288,541,40,288,403,90
,"2013-06-24","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,90,16041,486,60,17101,15043,40
,"2023-04-07","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,50,16041,486,100,17101,15043,40
,"2015-06-12","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,10,70,288,541,50,288,403,90
,"2021-08-20","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,50,40,16041,486,90,17101,15043,40
,"2019-06-26","2023-09-18","Africa","ZAF","Recycled Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,50,80,288,541,60,288,403,90
,"2020-02-20","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,70,288,403,90
,"2016-04-20","2023-09-18","AMER","USA","Ground Water - Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,40,17101,15043,40
,"2023-03-02","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,90,288,541,100,288,403,90
,"2012-02-14","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,20,16041,486,10,17101,15043,40
,"2021-07-01","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,60,50,16041,486,80,17101,15043,40
,"2014-11-27","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,70,288,541,10,288,403,90
,"2016-12-27","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,20,16041,486,30,17101,15043,40
,"2015-04-26","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,30,288,541,40,288,403,90
,"2017-02-08","2023-09-18","Africa","ZAF","Third-Party Reserve","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,60,288,541,30,288,403,90
,"2017-04-16","2023-09-18","AMER","USA","Third-Party Reserve","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,10,30,16041,486,50,17101,15043,40
,"2017-10-23","2023-09-18","AMER","USA","Fresh Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,20,16041,486,30,17101,15043,40
,"2020-03-01","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,70,288,403,90
,"2015-11-29","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,40,30,16041,486,70,17101,15043,40
,"2019-06-30","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,60,70,288,541,60,288,403,90
,"2020-08-25","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,70,288,541,70,288,403,90
,"2017-07-04","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,20,30,16041,486,40,17101,15043,40
,"2017-07-30","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,20,70,288,541,30,288,403,90
,"2013-08-18","2023-09-18","AMER","USA","Sea Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,40,16041,486,100,17101,15043,40
,"2012-01-27","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,80,90,16041,486,40,17101,15043,40
,"2018-10-09","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,70,288,541,40,288,403,90
,"2018-01-12","2023-09-18","AMER","USA","Reused Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,30,40,16041,486,50,17101,15043,40
,"2020-01-06","2023-09-18","Africa","ZAF","Ground Water - Non-Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,70,70,288,541,70,288,403,90
,"2022-05-02","2023-09-18","Africa","ZAF","Ground Water - Renewable","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,80,80,288,541,100,288,403,90
,"2022-10-07","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,60,16041,486,90,17101,15043,40
,"2015-09-02","2023-09-18","Africa","ZAF","Sea Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,40,70,288,541,90,288,403,90
,"2023-05-04","2023-09-18","AMER","USA","Recycled Water","Data Center","*Cirrus Tower","United States","SDO.015",,"0phB00000004Mn1IAE",,50,70,70,16041,486,100,17101,15043,40
,"2018-01-15","2023-09-18","Africa","ZAF","Reused Water","Data Center","RDC-Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE",,80,30,60,288,541,30,288,403,90
