"TPM__c","Discount__c","Month__c","Product","Retailer__c","Daily_Unit_Volume"
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",494
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",599
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",333
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",360
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",266
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",496
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",533
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",695
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",304
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",193
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",390
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",295
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",262
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",295
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",260
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",229
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",206
"Digital Coupon","0.15","JAN","Crypto Nutrition - Energy Bars","Rondel",197
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fine Goods",153
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",262
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",212
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sure Store",192
"Digital Coupon","0.15","JAN","Crypto Nutrition - Energy Bars","WaySafe",227
"Digital Coupon","0.15","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",269
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Huge Store",177
"BOGO","0.15","JAN","Crypto Nutrition - Energy Bars","Sanesberry",192
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",47
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Rondel",33
"Digital Coupon","0.2","JAN","Crypto Nutrition - Energy Bars","Fine Goods",78
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",54
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",50
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Sure Store",34
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","WaySafe",64
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",92
"BOGO","0.2","JAN","Crypto Nutrition - Energy Bars","Huge Store",102
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",99
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",98
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",151
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",130
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",201
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",212
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",264
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","WaySafe",114
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Alpine Nutrition",123
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Huge Store",490
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Sanesberry",556
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Nutrition Stop",852
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Rondel",749
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fine Goods",220
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Northern Trails Outfitters",173
"BOGO","0.1","JAN","Crypto Nutrition - Energy Bars","Fare Merchants",388
"Digital Coupon","0.1","JAN","Crypto Nutrition - Energy Bars","Sure Store",399
