CaseNumber,AppliedDate_Custom,IA_BLA.Name,AppliedDate,Address.State,Status,Address.City,Address.CitywithState,AccountId,Id
101045,2020-05-05,IA-0000100020,2020-05-05T00:00:00.000Z,OR,Submitted,Portland,"Portland , OR",0013c00001qCjctAAC,a1A3c00000C6C1iEAF
101049,2020-05-05,IA-0000100024,2020-05-05T00:00:00.000Z,MA,Approved,Burlington,"Burlington , MA",0013c00001qCjcpAAC,a1A3c00000C6C1mEAF
101054,2020-05-05,IA-0000100029,2020-05-05T00:00:00.000Z,TX,Approved,Corpus Christi,"Corpus Christi , TX",0013c00001qCjckAAC,a1A3c00000C6C1rEAF
101066,2020-05-05,IA-0000100041,2020-05-05T00:00:00.000Z,MI,Submitted,Ypsilanti,"Ypsilanti , MI",0013c00001qCjfmAAC,a1A3c00000C6C23EAF
101081,2020-05-05,IA-0000100056,2020-05-05T00:00:00.000Z,NJ,Submitted,Matawan,"Matawan , NJ",0013c00001qCjfXAAS,a1A3c00000C6C2IEAV
101091,2020-05-05,IA-0000100066,2020-05-05T00:00:00.000Z,PA,Submitted,Reading,"Reading , PA",0013c00001qCjfNAAS,a1A3c00000C6C2SEAV
101103,2020-05-05,IA-0000100078,2020-05-05T00:00:00.000Z,OH,Submitted,Toledo,"Toledo , OH",0013c00001qCjfBAAS,a1A3c00000C6C2eEAF
101124,2020-05-05,IA-0000100099,2020-05-05T00:00:00.000Z,CA,Approved,Van Nuys,"Van Nuys , CA",0013c00001qCjeqAAC,a1A3c00000C6C2zEAF
101141,2020-05-05,IA-0000100116,2020-05-05T00:00:00.000Z,OH,Submitted,Batavia,"Batavia , OH",0013c00001qCjeZAAS,a1A3c00000C6C3GEAV
101166,2020-05-05,IA-0000100141,2020-05-05T00:00:00.000Z,NJ,Submitted,Flanders,"Flanders , NJ",0013c00001qCjeAAAS,a1A3c00000C6C3fEAF
101174,2020-05-05,IA-0000100149,2020-05-05T00:00:00.000Z,NY,Approved,Newburgh,"Newburgh , NY",0013c00001qCje2AAC,a1A3c00000C6C3nEAF
101207,2020-05-05,IA-0000100182,2020-05-05T00:00:00.000Z,MO,In Review,Kansas City,"Kansas City , MO",0013c00001qCjdVAAS,a1A3c00000C6C4KEAV
101209,2020-05-05,IA-0000100184,2020-05-05T00:00:00.000Z,NY,Approved,New York,"New York , NY",0013c00001qCjdTAAS,a1A3c00000C6C4MEAV
101223,2020-05-05,IA-0000100198,2020-05-05T00:00:00.000Z,NJ,Submitted,Whippany,"Whippany , NJ",0013c00001qCjcwAAC,a1A3c00000C6C4aEAF
101231,2020-05-05,IA-0000100206,2020-05-05T00:00:00.000Z,NJ,Submitted,Deptford,"Deptford , NJ",0013c00001qCjd4AAC,a1A3c00000C6C4iEAF
101264,2020-05-05,IA-0000100239,2020-05-05T00:00:00.000Z,MD,Approved,Bethesda,"Bethesda , MD",0013c00001qCjisAAC,a1A3c00000C6C5FEAV
101293,2020-05-05,IA-0000100268,2020-05-05T00:00:00.000Z,CA,Submitted,Pasadena,"Pasadena , CA",0013c00001qCjiPAAS,a1A3c00000C6C5iEAF
101325,2020-05-05,IA-0000100300,2020-05-05T00:00:00.000Z,AK,Submitted,Fairbanks,"Fairbanks , AK",0013c00001qCjhtAAC,a1A3c00000C6C6EEAV
101381,2020-05-05,IA-0000100356,2020-05-05T00:00:00.000Z,NJ,Submitted,Freehold,"Freehold , NJ",0013c00001qCjgzAAC,a1A3c00000C6C78EAF
101453,2020-05-05,IA-0000100428,2020-05-05T00:00:00.000Z,NJ,Submitted,Bound Brook,"Bound Brook , NJ",0013c00001qCjjTAAS,a1A3c00000C6C8IEAV
101461,2020-05-05,IA-0000100436,2020-05-05T00:00:00.000Z,PA,Submitted,Wilkes Barre,"Wilkes Barre , PA",0013c00001qCjjbAAC,a1A3c00000C6C8QEAV
101472,2020-05-05,IA-0000100447,2020-05-05T00:00:00.000Z,DC,In Review,Washington,"Washington , DC",0013c00001qCjjmAAC,a1A3c00000C6C8bEAF
101560,2020-05-06,IA-0000100535,2020-05-06T00:00:00.000Z,NJ,Approved,Somerville,"Somerville , NJ",0013c00001qCjnUAAS,a1A3c00000C6CA1EAN
101590,2020-05-06,IA-0000100565,2020-05-06T00:00:00.000Z,NY,Approved,Ronkonkoma,"Ronkonkoma , NY",0013c00001qCjmCAAS,a1A3c00000C6CAVEA3
101607,2020-05-06,IA-0000100582,2020-05-06T00:00:00.000Z,TX,Submitted,Irving,"Irving , TX",0013c00001qCjlvAAC,a1A3c00000C6CAmEAN
101631,2020-05-06,IA-0000100606,2020-05-06T00:00:00.000Z,CA,Submitted,San Mateo,"San Mateo , CA",0013c00001qCjmkAAC,a1A3c00000C6CBAEA3
101662,2020-05-06,IA-0000100637,2020-05-06T00:00:00.000Z,CA,Submitted,Burlingame,"Burlingame , CA",0013c00001qCjmeAAC,a1A3c00000C6CBfEAN
101702,2020-05-06,IA-0000100677,2020-05-06T00:00:00.000Z,NY,Submitted,New York,"New York , NY",0013c00001qCjlCAAS,a1A3c00000C6CCJEA3
101704,2020-05-06,IA-0000100679,2020-05-06T00:00:00.000Z,WI,Submitted,Madison,"Madison , WI",0013c00001qCjlAAAS,a1A3c00000C6CCLEA3
101731,2020-05-06,IA-0000100706,2020-05-06T00:00:00.000Z,CA,Submitted,San Jose,"San Jose , CA",0013c00001qCjkjAAC,a1A3c00000C6CCmEAN
101739,2020-05-06,IA-0000100714,2020-05-06T00:00:00.000Z,TX,Submitted,Kerrville,"Kerrville , TX",0013c00001qCjq9AAC,a1A3c00000C6CCuEAN
101740,2020-05-06,IA-0000100715,2020-05-06T00:00:00.000Z,NJ,Approved,Monroe Township,"Monroe Township , NJ",0013c00001qCjq8AAC,a1A3c00000C6CCvEAN
101747,2020-05-06,IA-0000100722,2020-05-06T00:00:00.000Z,FL,Submitted,Orlando,"Orlando , FL",0013c00001qCjq1AAC,a1A3c00000C6CD2EAN
101758,2020-05-06,IA-0000100733,2020-05-06T00:00:00.000Z,CA,In Review,Santa Ana,"Santa Ana , CA",0013c00001qCjpqAAC,a1A3c00000C6CDDEA3
101826,2020-05-06,IA-0000100801,2020-05-06T00:00:00.000Z,CO,Submitted,Colorado Springs,"Colorado Springs , CO",0013c00001qCjqlAAC,a1A3c00000C6CEJEA3
101837,2020-05-06,IA-0000100812,2020-05-06T00:00:00.000Z,CA,Submitted,Pacifica,"Pacifica , CA",0013c00001qCjp4AAC,a1A3c00000C6CEUEA3
101844,2020-05-06,IA-0000100819,2020-05-06T00:00:00.000Z,MO,Submitted,Saint Louis,"Saint Louis , MO",0013c00001qCjoxAAC,a1A3c00000C6CEbEAN
101848,2020-05-06,IA-0000100823,2020-05-06T00:00:00.000Z,TX,In Review,El Paso,"El Paso , TX",0013c00001qCjotAAC,a1A3c00000C6CEfEAN
101850,2020-05-06,IA-0000100825,2020-05-06T00:00:00.000Z,CA,Approved,Beverly Hills,"Beverly Hills , CA",0013c00001qCjorAAC,a1A3c00000C6CEhEAN
101859,2020-05-06,IA-0000100834,2020-05-06T00:00:00.000Z,TX,Submitted,Austin,"Austin , TX",0013c00001qCjoiAAC,a1A3c00000C6CEqEAN
