Status,UniqueUserName,Account_ID,LastProcessedDate,Quote_ID,Account_Created_Date,Quote_Number,CreatedDate,Account_Name,Opportunity_ID,Quote_Name,Effective_Quote_Total,Days_Presented,Quote_Margin_Total,Days_To_Quote
Accepted,Isabel Bozzo,001B000001MSDoEIAX,2021-06-24,0Q04x0000009Wn9CAE,2021-03-10,00000236,2021-03-12,Bailey Entertainment,0064x000006LamPAAS,B E 15 mobile plans,4200,0,13,0
Accepted,Isabel Bozzo,001B000001MSDqEIAX,2021-06-24,0Q04x0000009YsvCAE,2021-04-01,00000286,2021-04-03,World Fuel Data,0064x000006M2W2AAK,WF Mobile Subscribers,320,0,28,0
Approved,Isabel Bozzo,001B000001MSDp5IAH,2021-06-24,0Q04x0000009bTJCAY,2021-03-17,00000298,2021-04-20,Simon Property Group,0064x000006NEOQAA4,SPG 30 internet plus vpn,31500,0,31,0
Accepted,Isabel Bozzo,001B000001MSDoAIAX,2021-06-24,0Q04x0000009dLNCAY,2021-03-10,00000319,2021-04-29,Ledner Construction,0064x000006LbZSAA0,LC 17 Mobile Subscribers,0,0,18,0
Accepted,Isabel Bozzo,001B000001MSDp9IAH,2021-06-24,0Q04x0000009doKCAQ,2021-03-18,00000334,2021-05-01,AbbVie,0064x000006NUz7AAG,AV WAN,0,0,19,0
Accepted,Isabel Bozzo,001B000001MSDp6IAH,2021-06-24,0Q04x0000009h14CAA,2021-03-17,00000373,2021-06-04,Arrow Electronics,0064x000006NQDYAA4,AE 25 Broadband Services,10000,0,16,0
Approved,Isabel Bozzo,001B000001MSDoFIAX,2021-06-24,0Q04x0000009WmuCAE,2021-03-10,00000233,2021-03-12,Dooley Books,0064x000006LamTAAS,DB 10 Internet Locations,5000,0,33,0
Approved,Isabel Bozzo,001B000001MSDoBIAX,2021-06-24,0Q04x0000009YImCAM,2021-03-10,00000267,2021-03-24,Stamon Equipment,0064x000006LuJEAA0,S Broadband internet 25,1000,0,24,0
Accepted,Isabel Bozzo,001B000001MSDp9IAH,2021-06-24,0Q04x0000009bRmCAI,2021-03-18,00000295,2021-04-20,AbbVie,0064x000006LkyAAAS,AbV 2000 Mobile subscribers,0,0,18,0
Approved,Isabel Bozzo,001B000001MSDo5IAH,2021-06-24,0Q04x0000009dh4CAA,2021-02-27,00000327,2021-05-01,Armstrong Motors,0064x000002GyhEAAS,AM Broadband Services,1500,0,33,0
Presented,Isabel Bozzo,001B000001MSDoFIAX,2021-06-24,0Q04x0000009h3tCAA,2021-03-10,00000379,2021-06-06,Dooley Books,0064x000006ONF5AAO,DB +14 Mobile Subscribers,4200,1,14,0
Accepted,Isabel Bozzo,001B000001MSDpBIAX,2021-06-24,0Q04x0000009bUCCAY,2021-03-18,00000302,2021-04-20,Boston Scientific,0064x000006NER5AAO,BS 20 Broadband Locations,0,0,25,0
Presented,Isabel Bozzo,001B000001MSDp9IAH,2021-06-24,0Q04x0000009doACAQ,2021-03-18,00000332,2021-05-01,AbbVie,0064x000006LkyAAAS,AV 200 Mobile Subscribers,29900,1,15,0
Draft,Isabel Bozzo,001B000001MSDoDIAX,2021-06-24,0Q04x0000009hdwCAA,2021-03-10,00000396,2021-06-16,Rice Accounting,0064x000006OSNoAAO,RA +49 Mobile subscribers,0,0,32,3
Accepted,Isabel Bozzo,001B000001MSDniIAH,2021-06-24,0Q04x0000009QoKCAU,2021-02-10,00000205,2021-02-27,Acme,0064x000004qDZvAAM,A 3 subscribers,0,0,33,0
Approved,Isabel Bozzo,001B000001MSDqEIAX,2021-06-24,0Q04x0000009Yt4CAE,2021-04-01,00000282,2021-04-03,World Fuel Data,0064x000006M02jAAC,WFD 10 Internet,8000,0,36,0
Accepted,Isabel Bozzo,001B000001MSDpAIAX,2021-06-24,0Q04x0000009dKUCAY,2021-03-18,00000315,2021-04-29,Aramark,0064x000006NRaDAAW,Ar 500 Internet,1500,0,18,0
Draft,Isabel Bozzo,001B000001MSDoBIAX,2021-06-24,0Q04x0000009i5HCAQ,2021-03-10,00000399,2021-06-24,Stamon Equipment,0064x000006OeVvAAK,SE Wan and 14 Locations Broadband,1500,0,22,2
Accepted,Isabel Bozzo,001B000001MSDp8IAH,2021-06-24,0Q04x0000009dKyCAI,2021-03-18,00000317,2021-04-29,Humana,0064x000006NETLAA4,Hu 1300 Mobile Subscriber,29610,0,11,0
Accepted,Isabel Bozzo,001B000001MSDoCIAX,2021-06-24,0Q04x0000009dpNCAQ,2021-03-10,00000342,2021-05-02,Renner Realty,0064x000006NVaxAAG,RR Top Up Packages,0,0,189,0
In Review,Isabel Bozzo,001B000001MSDoAIAX,2021-06-24,0Q04x0000009enXCAQ,2021-03-10,00000365,2021-05-09,Ledner Construction,0064x000006NeIdAAK,LC +10 Mobile Subscribers,5200,0,25,0
Denied,Isabel Bozzo,001B000001MSDp7IAH,2021-06-24,0Q04x0000009Y9BCAU,2021-03-18,00000250,2021-03-23,Valero Energy,0064x000006LssLAAS,VE mobile subscribers,0,0,23,0
Denied,Isabel Bozzo,001B000001MSDqEIAX,2021-06-24,0Q0B0000000c6x7KAA,2021-04-01,00000280,2021-04-03,World Fuel Data,0064x000006M02jAAC,WFD 8 Broadband Locations,2000,0,41,0
Accepted,Isabel Bozzo,001B000001MSDoBIAX,2021-06-24,0Q04x0000009d8dCAA,2021-03-10,00000312,2021-04-28,Stamon Equipment,0064x000006NQA3AAO,SE 30 Mobile Subscribers,12920,0,20,0
