Order_ID,Quote,Order_Status,UniqueUserName,Account_ID,Order_Number,Account_Name,Opportunity_ID,Order_Amount,Effective_Order_Total,HoursToFulfill,MinutesToFulfill
8014x000000TdTXAA0,,Activated,Isabel Bozzo,001B000001MSDniIAH,162,Acme,,0,500,0.2,12.03
8014x000000TnwYAAS,,Activated,,0014x00000D7ureAAB,175,,,0,500,0.2,12.03
8014x000000TnwPAAS,,Activated,,0014x00000D7ureAAB,173,,,0,500,0.2,12.03
8014x000000TtDoAAK,0Q04x0000009WmuCAE,Activated,,0014x00000D8SWCAA3,185,,0064x000006LamTAAS,0,500,0.2,12.03
8014x000000TtDzAAK,0Q04x0000009Wn9CAE,Activated,,0014x00000D8SWhAAN,191,,0064x000006LamPAAS,0,700,0.2,12.03
8014x000000TtEwAAK,0Q04x0000009WnECAU,In Progress,,0014x00000D8SptAAF,205,,0064x000006LbZSAA0,0,0,0.2,12.03
8014x000000TtExAAK,0Q04x0000009WnECAU,Activated,,0014x00000D8SpuAAF,215,,0064x000006LbZSAA0,0,0,0.2,12.03
8014x000000UARVAA4,,Ready To Submit,,0014x00000HmKAQAA3,280,,,50,0,0.2,12.03
8014x000000UAWsAAO,0Q04x0000009YsuCAE,Ready To Submit,,0014x00000HmKJLAA3,286,,0064x000006M02jAAC,0,0,0.2,12.03
8014x000000UAXHAA4,0Q04x0000009YsuCAE,Activated,Isabel Bozzo,001B000001MSDqEIAX,295,World Fuel Data,0064x000006M02jAAC,0,0,0.2,12.03
8014x000000UAYqAAO,0Q04x0000009bUCCAY,Activated,Isabel Bozzo,001B000001MSDpBIAX,312,Boston Scientific,0064x000006NER5AAO,0,0,0.2,12.03
8014x000000UBrqAAG,0Q04x0000009bRmCAI,Ready To Submit,Isabel Bozzo,001B000001MSDp9IAH,335,AbbVie,0064x000006LkyAAAS,0,0,0.2,12.03
8014x000000UBrsAAG,0Q04x0000009bRmCAI,Ready To Submit,Isabel Bozzo,001B000001MSDp9IAH,337,AbbVie,0064x000006LkyAAAS,0,0,0.2,12.03
8014x000000UCBfAAO,0Q04x0000009enNCAQ,Ready To Submit,Isabel Bozzo,001B000001MSDp8IAH,354,Humana,0064x000006NeIEAA0,0,0,0.2,12.03
8014x000000UCRCAA4,,Queued,Isabel Bozzo,001B000001MSDo5IAH,366,Armstrong Motors,,0,0,0.2,12.03
8014x000000UCRKAA4,,Ready To Submit,Isabel Bozzo,001B000001MSDo5IAH,373,Armstrong Motors,,0,0,0.2,12.03
8014x000000UFhBAAW,0Q04x0000009eULCAY,Ready To Submit,Isabel Bozzo,001B000001MSDoCIAX,389,Renner Realty,0064x000006Na44AAC,0,0,0.2,12.03
