"ProductCode","Family","Id","Name"
"W_Product.1","Tires & Wheels","01tB0000000YrPvIAK","Tires and Wheels"
"W_Product.2","Car Electronics","01tB0000000YrPwIAK","Electronics"
"W_Product.3","Car Accessories","01tB0000000YrPxIAK","Car Care"
"W_Product.4","Car Accessories","01tB0000000YrPyIAK","Towing Equioment"
"W_Product.5","Car Accessories","01tB0000000YrPzIAK","Batteries"
"W_Product.6","Car Accessories","01tB0000000YrQ0IAK","Exterior Accessories"
"W_Product.7","Car Accessories","01tB0000000YrQ1IAK","Replacement Parts"
"W_Product.8","Performance & Non-auto","01tB0000000YrQ2IAK","Motorcycle Parts"
"W_Product.9","Car Accessories","01tB0000000YrQ3IAK","Interior Accessories"
"W_Product.10","Performance & Non-auto","01tB0000000YrQ4IAK","Performance"
"W_Product.11","Performance & Non-auto","01tB0000000YrQ5IAK","RV Shelters"
"LLPT","Laptop","01tB0000000eu93IAA","Light laptop"
"PLPT","Laptop","01tB0000000eu94IAA","Pro laptop"
"LTBL2","Tablet","01tB0000000eu95IAA","Light tablet 2"
"MTBL","Tablet","01tB0000000eu96IAA","Mini tablet"
"SPH3","Phone","01tB0000000eu97IAA","Space phone 3"
"CRS","Services","01tB0000000eu98IAA","Courses"
"MTBL2","Tablet","01tB0000000eu99IAA","Mini tablet 2"
"MLPT","Laptop","01tB0000000eu9AIAQ","Mega laptop"
"SPH2","Phone","01tB0000000eu9BIAQ","Space phone 2"
"CERT","Services","01tB0000000eu9CIAQ","Certifications"
"MS","Accessories","01tB0000000eu9DIAQ","Mouse"
"KB","Accessories","01tB0000000eu9EIAQ","Keyboard"
"CBL","Accessories","01tB0000000eu9FIAQ","Cables"
"BKS","Accessories","01tB0000000eu9GIAQ","Books"
"CSS","Accessories","01tB0000000eu9HIAQ","Cases"
"NTB","Accessories","01tB0000000eu9IIAQ","Notebook"
"LTBL","Tablet","01tB0000000eu9JIAQ","Light tablet"
,"None","01tB0000000muSzIAI","awesome wine"
