"Product_Family","Product_Name","Account_Name","Discount_Percent","Total_Price"
"Car Accessories","Batteries","Resourcesoft",0.01,39373
"Car Accessories","Car Care","Cipient Networks Inc",0.01,77507
"Car Accessories","Exterior Accessories","Alvion Technologies",0,90000
"Car Accessories","Batteries","MMG Technology Corporation",0.02,74146
"Performance & Non-auto","Performance","Lone Star Circuits",0.06,46504
"Performance & Non-auto","RV Shelters","e  bots Consulting Services",0.01,100000
"Car Accessories","Interior Accessories","Foreshock",0.04,145000
"Car Accessories","Replacement Parts","American Environmental Container Corp.",0.06,23252
"Car Accessories","Exterior Accessories","American Environmental Container Corp.",0.01,131762
"Car Accessories","Batteries","SmartPartner.com",0.02,42857
"Car Accessories","Exterior Accessories","SmartPartner.com",0.04,15116
"Car Accessories","Exterior Accessories","Coviant",0.05,10000
"Car Accessories","Exterior Accessories","Associated Grocers",0,65789
"Car Accessories","Batteries","CORT Business Services",0.06,15000
"Car Accessories","Replacement Parts","Metapa",0.01,77507
"Performance & Non-auto","Motorcycle Parts","Emulex Corp. / Bothell Facility Corp.",0.01,116279
"Performance & Non-auto","Motorcycle Parts","Payment Plus",0.04,15501
"Car Accessories","Batteries","Connections for Business",0.16,10000
"Car Accessories","Batteries","Connections for Business",0.16,10000
"Car Accessories","Batteries","Connections for Business",0.16,10000
"Car Accessories","Batteries","Connections for Business",0.16,10000
"Performance & Non-auto","Motorcycle Parts","Connections for Business",0.07,4294
"Performance & Non-auto","Motorcycle Parts","Connections for Business",0.07,4294
"Car Accessories","Car Care","Connections for Business",0,12269
"Performance & Non-auto","Motorcycle Parts","Greenleaf Produce",0.02,30674
"Car Accessories","Replacement Parts","Greenleaf Produce",0,240270
"Car Accessories","Replacement Parts","Greenleaf Produce",0,13323
"Car Accessories","Replacement Parts","Punch Networks Corporation",0.14,11500
"Performance & Non-auto","RV Shelters","Centerfield Technology Inc",0.08,13157
"Car Accessories","Car Care","Education Interface",0.07,4000
"Car Accessories","Batteries","North Hills Signal Processing Corp",0.03,23252
"Performance & Non-auto","Motorcycle Parts","North Hills Signal Processing Corp",0.04,12263
"Car Accessories","Car Care","Dimension Data Premier - CO",0.04,10640
"Performance & Non-auto","RV Shelters","MHM Services",0.03,50000
"Performance & Non-auto","Motorcycle Parts","Dominion Digital",0,60000
"Car Accessories","Car Care","Dominion Digital",0,46504
"Car Accessories","Replacement Parts","Hisco",0.06,9000
"Car Accessories","Exterior Accessories","PMRealty Advisors",0.05,15000
"Car Accessories","Exterior Accessories","Gas Equipment Company",0.31,1210
"Car Accessories","Exterior Accessories","Gas Equipment Company",0,300000
"Car Accessories","Car Care","Gas Equipment Company",0,100000
"Car Accessories","Replacement Parts","Gas Equipment Company",0,490126
"Performance & Non-auto","Motorcycle Parts","Gas Equipment Company",0.01,131000
"Performance & Non-auto","Motorcycle Parts","Millennium Hotels & Resorts",0.01,46000
"Performance & Non-auto","Motorcycle Parts","Atofina Petrochemicals   Port Arthur",0.02,15920
"Car Accessories","Batteries","The Stop & Shop Supermarket Company",0.07,18601
"Performance & Non-auto","Motorcycle Parts","The Stop & Shop Supermarket Company",0.02,50000
"Performance & Non-auto","Motorcycle Parts","Rofin-Sinar Technologies",0.09,7361
"Car Accessories","Exterior Accessories","iPrint.com",0.02,36144
"Performance & Non-auto","Motorcycle Parts","Quality Resource Assoc",0.02,50000
"Car Accessories","Car Care","Quality Resource Assoc",0.02,24616
"Performance & Non-auto","Motorcycle Parts","Product Development Consulting",0.09,7361
"Performance & Non-auto","Motorcycle Parts","Product Development Consulting",0.09,7361
"Car Accessories","Car Care","Product Development Consulting",0.01,9690
"Car Accessories","Exterior Accessories","Golden Key International Honour Society",0,50000
"Performance & Non-auto","Motorcycle Parts","Gemco  Ware",0.02,46504
"Performance & Non-auto","Motorcycle Parts","The Surfside Group",0,250023
"Car Accessories","Exterior Accessories","The Surfside Group",0.01,32894
"Car Accessories","Batteries","Oklahoma Department of Commerce",0.09,20000
"Performance & Non-auto","Motorcycle Parts","Oklahoma Department of Commerce",0.02,50000
"Car Accessories","Exterior Accessories","Hispanic Outsourcing Solutions",0.05,15000
"Car Accessories","Batteries","Practicorp",0.01,200000
"Car Accessories","Interior Accessories","Crane Aerospace Division / Hydro  Aire",0.01,500000
"Performance & Non-auto","Performance","CitySoft",0.02,199000
