"ACCOUNT_ID","ActivityType","Week","Activities","ExpertHours","Offset"
"A0002","Email/Phone","11/1/16",4,14,86400
"A0002","Visit","11/1/16",12,0,86400
"A0002","Email/Phone","10/1/16",1,17,2764800
"A0002","Visit","10/1/16",1,0,2764800
"A0002","Email/Phone","9/1/16",1,2,5356800
"A0002","Visit","9/1/16",7,0,5356800
"A0002","Email/Phone","8/1/16",3,15,8035200
"A0002","Visit","8/1/16",6,0,8035200
"A0002","Email/Phone","7/1/16",3,2,10713600
"A0002","Visit","7/1/16",10,0,10713600
"A0002","Email/Phone","6/1/16",6,17,13305600
"A0002","Visit","6/1/16",1,0,13305600
"A0002","Email/Phone","5/1/16",5,15,15984000
"A0002","Visit","5/1/16",3,0,15984000
"A0002","Email/Phone","4/1/16",3,6,18576000
"A0002","Visit","4/1/16",3,0,18576000
"A0002","Email/Phone","3/1/16",1,14,21254400
"A0002","Visit","3/1/16",2,0,21254400
"A0002","Email/Phone","2/1/16",1,17,23760000
"A0002","Visit","2/1/16",9,0,23760000
"A0002","Email/Phone","1/1/16",7,18,26438400
"A0002","Visit","1/1/16",5,0,26438400
"A0002","Email/Phone","12/1/15",7,19,29116800
"A0002","Visit","12/1/15",10,0,29116800
"A0002","Email/Phone","11/1/15",4,11,31708800
"A0002","Visit","11/1/15",4,0,31708800
"A0002","Email/Phone","10/1/15",0,14,34387200
"A0002","Visit","10/1/15",0,0,34387200
"A0002","Visit","9/1/15",2,0,36979200
"A0002","Email/Phone","9/1/15",4,5,36979200
"A0003","Email/Phone","11/1/16",5,2,86400
"A0003","Visit","11/1/16",1,0,86400
"A0003","Email/Phone","11/1/16",4,1,86400
"A0003","Visit","11/1/16",8,0,86400
"A0003","Email/Phone","10/1/16",1,13,2764800
"A0003","Visit","10/1/16",3,0,2764800
"A0003","Email/Phone","10/1/16",0,11,2764800
"A0003","Visit","10/1/16",6,0,2764800
"A0003","Email/Phone","9/1/16",3,15,5356800
"A0003","Visit","9/1/16",0,0,5356800
"A0003","Email/Phone","9/1/16",7,7,5356800
"A0003","Visit","9/1/16",11,0,5356800
"A0003","Email/Phone","8/1/16",2,20,8035200
"A0003","Visit","8/1/16",11,0,8035200
"A0003","Email/Phone","8/1/16",6,6,8035200
"A0003","Visit","8/1/16",1,0,8035200
"A0003","Email/Phone","7/1/16",0,18,10713600
"A0003","Visit","7/1/16",10,0,10713600
"A0003","Email/Phone","7/1/16",0,2,10713600
"A0003","Visit","7/1/16",5,0,10713600
"A0003","Email/Phone","6/1/16",5,14,13305600
"A0003","Visit","6/1/16",8,0,13305600
"A0003","Email/Phone","6/1/16",6,12,13305600
"A0003","Visit","6/1/16",8,0,13305600
"A0003","Email/Phone","5/1/16",3,17,15984000
"A0003","Visit","5/1/16",12,0,15984000
"A0003","Email/Phone","5/1/16",4,7,15984000
"A0003","Visit","5/1/16",7,0,15984000
"A0003","Email/Phone","4/1/16",0,13,18576000
"A0003","Visit","4/1/16",12,0,18576000
"A0003","Email/Phone","4/1/16",7,3,18576000
"A0003","Visit","4/1/16",0,0,18576000
"A0003","Email/Phone","3/1/16",3,0,21254400
"A0003","Visit","3/1/16",1,0,21254400
"A0003","Email/Phone","3/1/16",2,16,21254400
"A0003","Visit","3/1/16",6,0,21254400
"A0003","Email/Phone","2/1/16",1,4,23760000
"A0003","Visit","2/1/16",8,0,23760000
"A0003","Email/Phone","2/1/16",1,9,23760000
"A0003","Visit","2/1/16",5,0,23760000
"A0003","Email/Phone","1/1/16",5,17,26438400
"A0003","Visit","1/1/16",11,0,26438400
"A0003","Email/Phone","1/1/16",7,17,26438400
"A0003","Visit","1/1/16",8,0,26438400
"A0003","Email/Phone","12/1/15",0,16,29116800
"A0003","Visit","12/1/15",5,0,29116800
"A0003","Email/Phone","12/1/15",1,15,29116800
"A0003","Visit","12/1/15",5,0,29116800
"A0003","Email/Phone","11/1/15",0,5,31708800
"A0003","Visit","11/1/15",11,0,31708800
"A0003","Email/Phone","11/1/15",4,8,31708800
"A0003","Visit","11/1/15",5,0,31708800
"A0003","Email/Phone","10/1/15",1,6,34387200
"A0003","Visit","10/1/15",4,0,34387200
"A0003","Email/Phone","10/1/15",7,12,34387200
"A0003","Visit","10/1/15",11,0,34387200
"A0003","Email/Phone","9/1/15",4,18,36979200
"A0003","Visit","9/1/15",4,0,36979200
"A0003","Email/Phone","9/1/15",0,19,36979200
"A0003","Visit","9/1/15",11,0,36979200
"A0004","Email/Phone","11/1/16",1,13,86400
"A0004","Visit","11/1/16",6,0,86400
"A0004","Email/Phone","11/1/16",0,4,86400
"A0004","Visit","11/1/16",7,0,86400
"A0004","Email/Phone","11/1/16",0,12,86400
"A0004","Visit","11/1/16",3,0,86400
"A0004","Email/Phone","10/1/16",7,20,2764800
"A0004","Visit","10/1/16",1,0,2764800
"A0004","Email/Phone","10/1/16",2,2,2764800
"A0004","Visit","10/1/16",2,0,2764800
"A0004","Email/Phone","10/1/16",2,20,2764800
"A0004","Visit","10/1/16",12,0,2764800
"A0004","Email/Phone","9/1/16",3,19,5356800
"A0004","Visit","9/1/16",3,0,5356800
"A0004","Email/Phone","9/1/16",3,6,5356800
"A0004","Visit","9/1/16",3,0,5356800
"A0004","Email/Phone","9/1/16",7,16,5356800
"A0004","Visit","9/1/16",10,0,5356800
"A0004","Email/Phone","8/1/16",4,19,8035200
"A0004","Visit","8/1/16",2,0,8035200
"A0004","Email/Phone","8/1/16",7,13,8035200
"A0004","Visit","8/1/16",3,0,8035200
"A0004","Email/Phone","8/1/16",3,12,8035200
"A0004","Visit","8/1/16",11,0,8035200
"A0004","Email/Phone","7/1/16",2,13,10713600
"A0004","Visit","7/1/16",12,0,10713600
"A0004","Email/Phone","7/1/16",1,0,10713600
"A0004","Visit","7/1/16",6,0,10713600
"A0004","Email/Phone","7/1/16",0,0,10713600
"A0004","Visit","7/1/16",0,0,10713600
"A0004","Email/Phone","6/1/16",4,5,13305600
"A0004","Visit","6/1/16",0,0,13305600
"A0004","Email/Phone","6/1/16",6,8,13305600
"A0004","Visit","6/1/16",4,0,13305600
"A0004","Email/Phone","6/1/16",0,1,13305600
"A0004","Visit","6/1/16",1,0,13305600
"A0004","Email/Phone","5/1/16",3,0,15984000
"A0004","Visit","5/1/16",12,0,15984000
"A0004","Email/Phone","5/1/16",2,16,15984000
"A0004","Visit","5/1/16",11,0,15984000
"A0004","Email/Phone","5/1/16",3,13,15984000
"A0004","Visit","5/1/16",8,0,15984000
"A0004","Email/Phone","4/1/16",7,2,18576000
"A0004","Visit","4/1/16",5,0,18576000
"A0004","Email/Phone","4/1/16",1,0,18576000
"A0004","Visit","4/1/16",8,0,18576000
"A0004","Email/Phone","4/1/16",0,15,18576000
"A0004","Visit","4/1/16",10,0,18576000
"A0004","Email/Phone","3/1/16",4,4,21254400
"A0004","Visit","3/1/16",9,0,21254400
"A0004","Email/Phone","3/1/16",0,4,21254400
"A0004","Visit","3/1/16",10,0,21254400
"A0004","Email/Phone","3/1/16",4,11,21254400
"A0004","Visit","3/1/16",4,0,21254400
"A0004","Email/Phone","2/1/16",3,9,23760000
"A0004","Visit","2/1/16",6,0,23760000
"A0004","Email/Phone","2/1/16",4,4,23760000
"A0004","Visit","2/1/16",5,0,23760000
"A0004","Email/Phone","2/1/16",5,14,23760000
"A0004","Visit","2/1/16",5,0,23760000
"A0004","Email/Phone","1/1/16",4,4,26438400
"A0004","Visit","1/1/16",1,0,26438400
"A0004","Email/Phone","1/1/16",1,13,26438400
"A0004","Visit","1/1/16",3,0,26438400
"A0004","Email/Phone","1/1/16",2,0,26438400
"A0004","Visit","1/1/16",9,0,26438400
"A0004","Email/Phone","12/1/15",7,15,29116800
"A0004","Visit","12/1/15",2,0,29116800
"A0004","Email/Phone","12/1/15",1,3,29116800
"A0004","Visit","12/1/15",5,0,29116800
"A0004","Email/Phone","12/1/15",5,20,29116800
"A0004","Visit","12/1/15",5,0,29116800
"A0004","Email/Phone","11/1/15",3,10,31708800
"A0004","Visit","11/1/15",5,0,31708800
"A0004","Email/Phone","11/1/15",0,19,31708800
"A0004","Visit","11/1/15",0,0,31708800
"A0004","Email/Phone","11/1/15",4,11,31708800
"A0004","Visit","11/1/15",8,0,31708800
"A0004","Email/Phone","10/1/15",0,15,34387200
"A0004","Visit","10/1/15",12,0,34387200
"A0004","Email/Phone","10/1/15",5,3,34387200
"A0004","Visit","10/1/15",8,0,34387200
"A0004","Email/Phone","10/1/15",3,9,34387200
"A0004","Visit","10/1/15",10,0,34387200
"A0004","Email/Phone","9/1/15",7,20,36979200
"A0004","Visit","9/1/15",1,0,36979200
"A0004","Email/Phone","9/1/15",6,17,36979200
"A0004","Visit","9/1/15",11,0,36979200
"A0004","Email/Phone","9/1/15",1,19,36979200
"A0004","Visit","9/1/15",8,0,36979200
"A0005","Email/Phone","11/1/16",4,13,86400
"A0005","Visit","11/1/16",9,0,86400
"A0005","Email/Phone","10/1/16",3,19,2764800
"A0005","Visit","10/1/16",3,0,2764800
