"LOCATION","STATE","REGION","LOCATION_ID","corrected_locality","BROKER_ID","Sum_of_UN_2020_E","Min_of_INSIDE_X","Min_of_INSIDE_Y","Max_of_INSIDE_X","Max_of_INSIDE_Y","Avg_of_INSIDE_Y","Avg_of_INSIDE_X"
"Marengo County","Alabama","South East","LOC_ID_1149","BELL","BROKER_1467",19170,-88.08,31.98,-87.47,32.53,32.32,-87.79
"Baldwin County","Alabama","South East","LOC_ID_239","ST ALBANS","BROKER_1467",275420,-88.01,30.22,-83.05,33.18,30.94,-87.08
"Cullman County","Alabama","South East","LOC_ID_557","SOUTH HEDLAND","BROKER_1488",81176,-87.13,33.87,-86.45,34.31,34.15,-86.83
"Tallapoosa County","Alabama","South East","LOC_ID_823","GLADSTONE PARK","BROKER_1514",40478,-86,32.49,-85.59,33.1,32.85,-85.83
"Mobile County","Alabama","South East","LOC_ID_170","TRARALGON","BROKER_1514",414096,-88.42,30.19,-87.95,31.17,30.73,-88.15
"Crenshaw County","Alabama","South East","LOC_ID_1303","LYSTERFIELD","BROKER_1536",13764,-86.49,31.44,-86.14,32.05,31.71,-86.29
"Lauderdale County","Alabama","South East","LOC_ID_307","MILDURA","BROKER_1536",202713,-89.95,32.22,-87.21,35.94,33.85,-88.34
"Barbour County","Alabama","South East","LOC_ID_797","GROVEDALE","BROKER_1597",42569,-85.73,31.61,-79.82,39.29,35.35,-82.77
"Covington County","Alabama","South East","LOC_ID_690","BOX HILL","BROKER_1609",55966,-89.75,30.99,-86.18,31.79,31.39,-87.49
"Autauga County","Alabama","South East","LOC_ID_633","CAULFIELD NORTH","BROKER_1618",66071,-86.91,32.31,-86.41,32.7,32.51,-86.55
"Coosa County","Alabama","South East","LOC_ID_1374","CURTIN","BROKER_1630",11024,-86.51,32.75,-86,33.1,32.95,-86.22
"Elmore County","Alabama","South East","LOC_ID_453","LISMORE","BROKER_1630",117415,-116.26,32.41,-85.88,43.98,39.21,-104.67
"Colbert County","Alabama","South East","LOC_ID_711","CAIRNS","BROKER_1650",52706,-88.13,34.56,-87.42,34.9,34.72,-87.72
"Wilcox County","Alabama","South East","LOC_ID_1131","LORNE","BROKER_1659",19903,-87.66,31.82,-83.21,32.26,31.98,-85.66
"Marshall County","Alabama","South East","LOC_ID_191","PERTH","BROKER_1659",360047,-97.97,34.1,-80.51,48.54,39.54,-89.81
"Geneva County","Alabama","South East","LOC_ID_991","MORANBAH","BROKER_1692",27122,-86.19,30.99,-85.48,31.19,31.09,-85.8
"Morgan County","Alabama","South East","LOC_ID_189","GLENWOOD","BROKER_1692",367094,-111.85,33.43,-78.02,41.37,37.78,-89.92
"Conecuh County","Alabama","South East","LOC_ID_1346","NANANGO","BROKER_1746",12178,-87.39,31.18,-86.66,31.74,31.41,-86.99
"Limestone County","Alabama","South East","LOC_ID_438","GOSNELLS","BROKER_1746",125555,-96.9,31.22,-86.78,34.99,33.68,-90.25
"Dale County","Alabama","South East","LOC_ID_733","MCDOWALL","BROKER_1779",49927,-85.79,31.19,-85.41,31.61,31.38,-85.64
"Etowah County","Alabama","South East","LOC_ID_495","ASCOT VALE","BROKER_1787",102201,-86.36,33.84,-85.73,34.2,34.01,-86.03
