"Ann_e","Profil","Secteur","P_riode","Activite","Date","CHARGE1.Charge","Charge"
"2020","STATION","Centre Var","2020-01","ELECTROMECANIQUE","03/01/2020",18.75,18.75
"2020","STATION","Centre Var","2020-01","PRODUCTION / TRAITEMENT","03/01/2020",169.916667,169.916667
"2020","RESEAU","Centre Var","2020-01","TRAVAUX FACTURABLES","03/01/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-01","CLIENTELE","03/01/2020",15.248269,15.248269
"2020","RESEAU","Centre Var","2020-01","DISTRIBUTION / COLLECTE","03/01/2020",68.281538,68.281538
"2020","RESEAU","Centre Var","2020-01","RELEVE COMPTEURS","03/01/2020",0,0
"2020","AUTRES","Centre Var","2020-01","TRAJET","03/01/2020",64.575,64.575
"2020","AUTRES","Centre Var","2020-01","ADMINISTRATIF","03/01/2020",41.5125,41.5125
"2020","STATION","Var Littoral","2020-01","ELECTROMECANIQUE","03/01/2020",5.332721,5.332721
"2020","STATION","Var Littoral","2020-01","PRODUCTION / TRAITEMENT","03/01/2020",272.5,272.5
"2020","RESEAU","Var Littoral","2020-01","TRAVAUX FACTURABLES","03/01/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-01","CLIENTELE","03/01/2020",18.645769,18.645769
"2020","RESEAU","Var Littoral","2020-01","DISTRIBUTION / COLLECTE","03/01/2020",89.886923,89.886923
"2020","RESEAU","Var Littoral","2020-01","RELEVE COMPTEURS","03/01/2020",0,0
"2020","AUTRES","Var Littoral","2020-01","TRAJET","03/01/2020",75.705,75.705
"2020","AUTRES","Var Littoral","2020-01","ADMINISTRATIF","03/01/2020",48.6675,48.6675
"2020","STATION","Centre Var","2020-01","ELECTROMECANIQUE","10/01/2020",7.5,7.5
"2020","STATION","Centre Var","2020-01","PRODUCTION / TRAITEMENT","10/01/2020",161.083333,161.083333
"2020","RESEAU","Centre Var","2020-01","TRAVAUX FACTURABLES","10/01/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-01","CLIENTELE","10/01/2020",19.958269,19.958269
"2020","RESEAU","Centre Var","2020-01","DISTRIBUTION / COLLECTE","10/01/2020",61.941538,61.941538
"2020","RESEAU","Centre Var","2020-01","RELEVE COMPTEURS","10/01/2020",0,0
"2020","AUTRES","Centre Var","2020-01","TRAJET","10/01/2020",64.575,64.575
"2020","AUTRES","Centre Var","2020-01","ADMINISTRATIF","10/01/2020",41.5125,41.5125
"2020","STATION","Var Littoral","2020-01","ELECTROMECANIQUE","10/01/2020",9.75,9.75
"2020","STATION","Var Littoral","2020-01","PRODUCTION / TRAITEMENT","10/01/2020",288.916667,288.916667
"2020","RESEAU","Var Littoral","2020-01","TRAVAUX FACTURABLES","10/01/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-01","CLIENTELE","10/01/2020",17.095769,17.095769
"2020","RESEAU","Var Littoral","2020-01","DISTRIBUTION / COLLECTE","10/01/2020",72.206923,72.206923
"2020","RESEAU","Var Littoral","2020-01","RELEVE COMPTEURS","10/01/2020",0,0
"2020","AUTRES","Var Littoral","2020-01","TRAJET","10/01/2020",87.255,87.255
"2020","AUTRES","Var Littoral","2020-01","ADMINISTRATIF","10/01/2020",56.0925,56.0925
"2020","STATION","Centre Var","2020-01","ELECTROMECANIQUE","17/01/2020",11.25,11.25
"2020","STATION","Centre Var","2020-01","PRODUCTION / TRAITEMENT","17/01/2020",170.916667,170.916667
"2020","RESEAU","Centre Var","2020-01","TRAVAUX FACTURABLES","17/01/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-01","CLIENTELE","17/01/2020",33.618269,33.618269
"2020","RESEAU","Centre Var","2020-01","DISTRIBUTION / COLLECTE","17/01/2020",66.281538,66.281538
"2020","RESEAU","Centre Var","2020-01","RELEVE COMPTEURS","17/01/2020",0,0
"2020","AUTRES","Centre Var","2020-01","TRAJET","17/01/2020",66.675,66.675
"2020","AUTRES","Centre Var","2020-01","ADMINISTRATIF","17/01/2020",42.8625,42.8625
"2020","STATION","Var Littoral","2020-01","ELECTROMECANIQUE","17/01/2020",6.976103,6.976103
"2020","STATION","Var Littoral","2020-01","PRODUCTION / TRAITEMENT","17/01/2020",294.083333,294.083333
"2020","RESEAU","Var Littoral","2020-01","TRAVAUX FACTURABLES","17/01/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-01","CLIENTELE","17/01/2020",24.505769,24.505769
"2020","RESEAU","Var Littoral","2020-01","DISTRIBUTION / COLLECTE","17/01/2020",88.316923,88.316923
"2020","RESEAU","Var Littoral","2020-01","RELEVE COMPTEURS","17/01/2020",0,0
"2020","AUTRES","Var Littoral","2020-01","TRAJET","17/01/2020",91.98,91.98
"2020","AUTRES","Var Littoral","2020-01","ADMINISTRATIF","17/01/2020",59.13,59.13
"2020","STATION","Centre Var","2020-01","ELECTROMECANIQUE","24/01/2020",11.25,11.25
"2020","STATION","Centre Var","2020-01","PRODUCTION / TRAITEMENT","24/01/2020",179.833333,179.833333
"2020","RESEAU","Centre Var","2020-01","TRAVAUX FACTURABLES","24/01/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-01","CLIENTELE","24/01/2020",16.138269,16.138269
"2020","RESEAU","Centre Var","2020-01","DISTRIBUTION / COLLECTE","24/01/2020",57.581538,57.581538
"2020","RESEAU","Centre Var","2020-01","RELEVE COMPTEURS","24/01/2020",0,0
"2020","AUTRES","Centre Var","2020-01","TRAJET","24/01/2020",65.1,65.1
"2020","AUTRES","Centre Var","2020-01","ADMINISTRATIF","24/01/2020",41.85,41.85
"2020","STATION","Var Littoral","2020-01","ELECTROMECANIQUE","24/01/2020",4.511029,4.511029
"2020","STATION","Var Littoral","2020-01","PRODUCTION / TRAITEMENT","24/01/2020",315.25,315.25
"2020","RESEAU","Var Littoral","2020-01","TRAVAUX FACTURABLES","24/01/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-01","CLIENTELE","24/01/2020",15.065769,15.065769
"2020","RESEAU","Var Littoral","2020-01","DISTRIBUTION / COLLECTE","24/01/2020",77.556923,77.556923
"2020","RESEAU","Var Littoral","2020-01","RELEVE COMPTEURS","24/01/2020",0,0
"2020","AUTRES","Var Littoral","2020-01","TRAJET","24/01/2020",78.33,78.33
"2020","AUTRES","Var Littoral","2020-01","ADMINISTRATIF","24/01/2020",50.355,50.355
"2020","STATION","Centre Var","2020-01","ELECTROMECANIQUE","31/01/2020",22.5,22.5
"2020","STATION","Centre Var","2020-01","PRODUCTION / TRAITEMENT","31/01/2020",204.916667,204.916667
"2020","RESEAU","Centre Var","2020-01","TRAVAUX FACTURABLES","31/01/2020",9.951923,9.951923
"2020","RESEAU","Centre Var","2020-01","CLIENTELE","31/01/2020",17.598269,17.598269
"2020","RESEAU","Centre Var","2020-01","DISTRIBUTION / COLLECTE","31/01/2020",50.031538,50.031538
"2020","RESEAU","Centre Var","2020-01","RELEVE COMPTEURS","31/01/2020",0,0
"2020","AUTRES","Centre Var","2020-01","TRAJET","31/01/2020",64.575,64.575
"2020","AUTRES","Centre Var","2020-01","ADMINISTRATIF","31/01/2020",41.5125,41.5125
"2020","STATION","Var Littoral","2020-01","ELECTROMECANIQUE","31/01/2020",7.987132,7.987132
"2020","STATION","Var Littoral","2020-01","PRODUCTION / TRAITEMENT","31/01/2020",294.683333,294.683333
"2020","RESEAU","Var Littoral","2020-01","TRAVAUX FACTURABLES","31/01/2020",16.730769,16.730769
"2020","RESEAU","Var Littoral","2020-01","CLIENTELE","31/01/2020",13.005769,13.005769
"2020","RESEAU","Var Littoral","2020-01","DISTRIBUTION / COLLECTE","31/01/2020",97.026923,97.026923
"2020","RESEAU","Var Littoral","2020-01","RELEVE COMPTEURS","31/01/2020",0,0
"2020","AUTRES","Var Littoral","2020-01","TRAJET","31/01/2020",78.33,78.33
"2020","AUTRES","Var Littoral","2020-01","ADMINISTRATIF","31/01/2020",50.355,50.355
