"Channel","Stage","NPS","ChannelOrder","StageOrder"
"Website","Acquisition",25,1,1
"App","Acquisition",-5,2,1
"Call Center","Acquisition",6,3,1
"Store","Acquisition",62,4,1
"Chat","Acquisition",-15,5,1
"Email","Acquisition",8,6,1
"Website","Onboarding",17,1,2
"App","Onboarding",-20,2,2
"Call Center","Onboarding",11,3,2
"Store","Onboarding",44,4,2
"Chat","Onboarding",-33,5,2
"Email","Onboarding",-10,6,2
"Website","Claims",-7,1,3
"App","Claims",-71,2,3
"Call Center","Claims",42,3,3
"Store","Claims",31,4,3
"Chat","Claims",-40,5,3
"Email","Claims",23,6,3
"Website","Routine Services",-30,1,4
"App","Routine Services",-50,2,4
"Call Center","Routine Services",-15,3,4
"Store","Routine Services",21,4,4
"Chat","Routine Services",-35,5,4
"Email","Routine Services",-35,6,4
"Website","Renewal",-21,1,5
"App","Renewal",-10,2,5
"Call Center","Renewal",7,3,5
"Store","Renewal",15,4,5
"Chat","Renewal",-27,5,5
"Email","Renewal",-4,6,5
