"Context","SurveyID","SurveyName","QuestionType","VersionNumber","QuestionID","QuestionName","Stage","SurveyVersionID","SubjectObjectType","Journey","Scale","StageOrder"
"Customer NPS","0KdB0000000Gs2dKAC","EmployeeSurvey(Sample)","NPS","6","0KuB00000000I6cKAE","How do you rate your work satisfaction in the company?","On-boarding","0KsB00000000GTwKAM","Contact","Customer NPS Journey 1",0,1
"Customer NPS","0KdB0000000Gs2dKAC","EmployeeSurvey(Sample)","NPS","7","0KuB00000000IFvKAM","How do you rate your work satisfaction in the company?","Sales Experence","0KsB00000000GcWKAU","Contact","Customer NPS Journey 1",0,2
"Customer NPS","0KdB0000000TTKQKA4","NPS for data test (John)","NPS","1","0KuB0000000PIj8KAG","Would you recommend us to your friends and family?","Support Phase 1","0KsB0000000PHFfKAO","Case","Customer NPS Journey 1",0,3
"Customer NPS","0KdB0000000TTKVKA4","Ash NPS","NPS","1","0KuB0000000PIjDKAW","NPS","Support Phase 1","0KsB0000000PHFkKAO","Case","Customer NPS Journey 1",0,3
"Customer NPS","0KdB0000000TTK6KAO","Ursa NPS Survey","NPS","1","0KuB0000000PIfwKAG"," On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?","Support Phase 2","0KsB0000000PHFGKA4",,"Customer NPS Journey 1",0,4
"Customer NPS","0KdB00000000HIpKAM","Claims","NPS","1","0KuB00000000JIUKA2","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HWXKA2",,"Customer NPS Journey 1",0,5
"Customer NPS","0KdB00000000H5nKAE","Claims Processing","NPS","1","0KuB00000000J30KAE","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HJBKA2",,"Customer NPS Journey 1",0,5
"Customer NPS","0KdB00000000H5nKAE","Claims Processing","NPS","2","0KuB00000000JHAKA2","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HW3KAM",,"Customer NPS Journey 1",0,5
"Customer NPS","0KdB00000000H5nKAE","Claims Processing","NPS","4","0KuB00000000JHqKAM","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HWDKA2",,"Customer NPS Journey 1",0,5
"Customer NPS","0KdB00000000HIkKAM","Renewal","NPS","1","0KuB00000000JIHKA2","On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?﻿","Renewal","0KsB00000000HWSKA2",,"Customer NPS Journey 1",0,6
"Customer NPS","0KdB0000000Gs2dKAC","EmployeeSurvey(Sample)","NPS","6","0KuB00000000I6cKAE","How do you rate your work satisfaction in the company?","On-boarding","0KsB00000000GTwKAM","Contact","Customer NPS Journey 2",0,1
"Customer NPS","0KdB0000000Gs2dKAC","EmployeeSurvey(Sample)","NPS","7","0KuB00000000IFvKAM","How do you rate your work satisfaction in the company?","Sales Experence","0KsB00000000GcWKAU","Contact","Customer NPS Journey 2",0,2
"Customer NPS","0KdB0000000TTKQKA4","NPS for data test (John)","NPS","1","0KuB0000000PIj8KAG","Would you recommend us to your friends and family?","Support","0KsB0000000PHFfKAO","Case","Customer NPS Journey 2",0,3
"Customer CSAT","0KdB0000000Gs2dKAC","EmployeeSurvey(Sample)","Rating","6","0KuB00000000I6hKAE",,"Support Phase 1","0KsB00000000GTwKAM",,"Customer CSAT Journey 1",5,1
"Customer CSAT","0KdB0000000TTKGKA4","Ursa CSAT Survey","Rating","1","0KuB0000000PIisKAG",,"Support Phase 2","0KsB0000000PHFVKA4",,"Customer CSAT Journey 1",5,2
"Customer NPS","0KdB00000000H62KAE","Acquistion","NPS","1","0KuB00000000J3PKAU","On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?﻿","Acquisition","0KsB00000000HJQKA2",,"Cumulus Experience Map",0,1
"Customer NPS","0KdB00000000H5xKAE","Onboarding","NPS","1","0KuB00000000J3aKAE","On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?﻿","Onboarding","0KsB00000000HJLKA2",,"Cumulus Experience Map",0,2
"Customer NPS","0KdB00000000HIpKAM","Claims","NPS","1","0KuB00000000JIUKA2","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HWXKA2",,"Cumulus Experience Map",0,3
"Customer NPS","0KdB00000000HIpKAM","Claims","NPS","2","0KuB00000000JJ0KAM","Based on your overall claims processing experience, would you recommend us to your friends and colleagues?﻿","Claims","0KsB00000000HWcKAM",,"Cumulus Experience Map",0,3
"Customer NPS","0KdB00000000H67KAE","Relational","NPS","1","0KuB00000000J3fKAE","On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?﻿","Relational","0KsB00000000HJVKA2",,"Cumulus Experience Map",0,4
"Customer NPS","0KdB00000000HIkKAM","Renewal","NPS","1","0KuB00000000JIHKA2","On a scale of zero to ten, how likely are you to recommend our business to a friend or colleague?﻿","Renewal","0KsB00000000HWSKA2",,"Cumulus Experience Map",0,5
