"ArticleVersion_DataCategory_DataCategoryName","ArticleVersion_CreatedById","ArticleVersion_OwnerId","LastPublishedDate","ArticleVersion_IsVisibleInPkb","ArticleVersion_Id","CreatedById","ArticleNumber","ArticleVersion_IsVisibleInCsp","ViewStat_Channel","VoteStat_Channel","ChannelList","IsDraft","User_Name","ArticleVersion_CreatedDate","ArticleVersion_PublishStatus","LastProcessedDate","ArticleVersion_IsLatestVersion","ArticleVersion_Title","ArticleVersion_IsVisibleInApp","ArticleVersion_VersionNumber","FirstPublishedDate","CreatedDate","Id","ArticleVersion_IsVisibleInPrm","LastModifiedById","ArticleVersion_DataCategory_DataCategoryGroupName","ViewStat_ViewCount","CaseAssociationCount","ViewStat_NormalizedScore","VoteStat_NormalizedScore"
,,,"2022-07-07",,,"005B0000003JK1iIAG","176",,"Mobile Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-07-03","2022-06-25","a4CB00000000EmpMAE",,"005B0000003JK1iIAG",,45,5,1.855,1.624
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-24","true","a4DB0000001aZmGMAU","005B0000003JK1iIAG","177","true","Mobile Site","Mobile Site","Internal;Parter;Customer;Public","false",,"2020-02-20T23:56:15.000Z","Online","2022-09-09","true","Home","true","1.0","2022-08-16","2022-08-07","a4CB00000000EmqMAE","true","005B0000003JK1iIAG",,88,3,9.833,9.605
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-07-14","true","a4DB0000001aZmHMAU","005B0000003JK1iIAG","178","true","Desktop Site","App","Internal;Parter;Customer;Public","false",,"2020-01-13T16:10:13.000Z","Online","2022-09-09","true","Beauty","true","1.0","2022-07-06","2022-06-30","a4CB00000000EmrMAE","true","005B0000003JK1iIAG",,79,1,2.655,9.539
,,,"2022-08-22",,,"005B0000003JK1iIAG","179",,"App","App",,"true",,,,"2022-09-09",,,,,"2022-08-19","2022-08-14","a4CB00000000EmsMAE",,"005B0000003JK1iIAG",,53,4,5.727,8.58
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-08","true","a4DB0000001aZmJMAU","005B0000003JK1iIAG","180","true","App","App","Internal;Parter;Customer;Public","false",,"2020-02-10T19:09:06.000Z","Online","2022-09-09","true","Health","true","1.0","2022-07-31","2022-07-28","a4CB00000000EmtMAE","true","005B0000003JK1iIAG",,43,2,4.247,4.395
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-07-19","true","a4DB0000001aZmKMAU","005B0000003JK1iIAG","181","true","Mobile Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-01-20T17:01:23.000Z","Online","2022-09-09","true","Sports","true","1.0","2022-07-11","2022-07-07","a4CB00000000EmuMAE","true","005B0000003JK1iIAG",,8,4,7.348,4.66
,,,"2022-07-23",,,"005B0000003JK1iIAG","182",,"Desktop Site","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-07-14","2022-07-06","a4CB00000000EmvMAE",,"005B0000003JK1iIAG",,79,5,9.41,6.594
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-20","true","a4DB0000001aZmMMAU","005B0000003JK1iIAG","183","true","Mobile Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-02-19T21:56:55.000Z","Online","2022-09-09","true","Outdoors","true","1.0","2022-08-11","2022-08-06","a4CB00000000EmwMAE","true","005B0000003JK1iIAG",,51,1,4.046,7.817
,,,"2022-08-23",,,"005B0000003JK1iIAG","184",,"Desktop Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-16","2022-08-15","a4CB00000000EmxMAE",,"005B0000003JK1iIAG",,74,2,5.379,4.374
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-07","true","a4DB0000001aZmOMAU","005B0000003JK1iIAG","185","true","Mobile Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-02-08T22:14:28.000Z","Online","2022-09-09","true","Industrial","true","1.0","2022-08-01","2022-07-26","a4CB00000000EmyMAE","true","005B0000003JK1iIAG",,92,3,4.329,5.499
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-01","true","a4DB0000001aZmPMAU","005B0000003JK1iIAG","186","true","App","Mobile Site","Internal;Parter;Customer;Public","false",,"2020-01-28T19:08:36.000Z","Online","2022-09-09","true","Books","true","1.0","2022-07-24","2022-07-15","a4CB00000000EmzMAE","true","005B0000003JK1iIAG",,15,3,5.944,6.865
,,,"2022-08-02",,,"005B0000003JK1iIAG","187",,"App","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-07-28","2022-07-24","a4CB00000000En0MAE",,"005B0000003JK1iIAG",,100,4,4.806,6.942
,,,"2022-08-15",,,"005B0000003JK1iIAG","188",,"App","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-12","2022-08-07","a4CB00000000En1MAE",,"005B0000003JK1iIAG",,32,3,2.675,6.479
,,,"2022-08-12",,,"005B0000003JK1iIAG","189",,"Desktop Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-09","2022-08-05","a4CB00000000En2MAE",,"005B0000003JK1iIAG",,42,5,4.551,8.122
,,,"2022-08-03",,,"005B0000003JK1iIAG","190",,"App","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-07-31","2022-07-22","a4CB00000000En3MAE",,"005B0000003JK1iIAG",,79,4,3.896,6.93
,,,"2022-07-22",,,"005B0000003JK1iIAG","191",,"App","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-07-21","2022-07-14","a4CB00000000En4MAE",,"005B0000003JK1iIAG",,33,3,5.506,4.141
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-07-24","true","a4DB0000001aZmbMAE","005B0000003JK1iIAG","198","true","Desktop Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-01-26T20:19:23.000Z","Online","2022-09-09","true","Shoes","true","1.0","2022-07-15","2022-07-13","a4CB00000000EnBMAU","true","005B0000003JK1iIAG",,45,3,9,7.789
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-09","true","a4DB0000001aZmcMAE","005B0000003JK1iIAG","199","true","Desktop Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-02-16T17:12:24.000Z","Online","2022-09-09","true","Books","true","1.0","2022-08-07","2022-08-03","a4CB00000000EnCMAU","true","005B0000003JK1iIAG",,95,2,9.815,3.501
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-16","true","a4DB0000001aZmdMAE","005B0000003JK1iIAG","200","true","Mobile Site","Mobile Site","Internal;Parter;Customer;Public","false",,"2020-02-14T22:23:41.000Z","Online","2022-09-09","true","Kids","true","1.0","2022-08-10","2022-08-01","a4CB00000000EnDMAU","true","005B0000003JK1iIAG",,46,2,7.54,8.135
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-03","true","a4DB0000001aZmeMAE","005B0000003JK1iIAG","201","true","App","Mobile Site","Internal;Parter;Customer;Public","false",,"2020-02-02T21:38:11.000Z","Online","2022-09-09","true","Beauty","true","1.0","2022-07-25","2022-07-20","a4CB00000000EnEMAU","true","005B0000003JK1iIAG",,72,1,9.074,1.916
,,,"2022-07-21",,,"005B0000003JK1iIAG","202",,"Desktop Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-07-16","2022-07-11","a4CB00000000EnFMAU",,"005B0000003JK1iIAG",,69,2,3.6,7.959
,,,"2022-08-13",,,"005B0000003JK1iIAG","203",,"Mobile Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-07","2022-08-03","a4CB00000000EnGMAU",,"005B0000003JK1iIAG",,16,4,1.875,3.745
,,,"2022-08-13",,,"005B0000003JK1iIAG","204",,"Mobile Site","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-11","2022-08-03","a4CB00000000EnHMAU",,"005B0000003JK1iIAG",,29,5,7.995,6.079
,,,"2022-08-02",,,"005B0000003JK1iIAG","205",,"Desktop Site","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-07-27","2022-07-18","a4CB00000000EnIMAU",,"005B0000003JK1iIAG",,10,2,5.681,7.566
,,,"2022-07-29",,,"005B0000003JK1iIAG","206",,"App","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-07-21","2022-07-18","a4CB00000000EnJMAU",,"005B0000003JK1iIAG",,22,5,5.606,2.448
,,,"2022-08-02",,,"005B0000003JK1iIAG","207",,"Mobile Site","App",,"true",,,,"2022-09-09",,,,,"2022-07-24","2022-07-18","a4CB00000000EnKMAU",,"005B0000003JK1iIAG",,44,2,5.327,8.377
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-01","true","a4DB0000001aZmlMAE","005B0000003JK1iIAG","208","true","App","App","Internal;Parter;Customer;Public","false",,"2020-02-08T20:41:25.000Z","Online","2022-09-09","true","Music","true","1.0","2022-07-30","2022-07-26","a4CB00000000EnLMAU","true","005B0000003JK1iIAG",,37,3,3.744,7.93
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-10","true","a4DB0000001aZmmMAE","005B0000003JK1iIAG","209","true","Mobile Site","Mobile Site","Internal;Parter;Customer;Public","false",,"2020-02-10T22:24:24.000Z","Online","2022-09-09","true","Kids","true","1.0","2022-08-04","2022-07-28","a4CB00000000EnMMAU","true","005B0000003JK1iIAG",,38,2,8.508,6.428
,"005B0000003JK1iIAG","005B0000003JK1iIAG","2022-08-02","true","a4DB0000001aZmnMAE","005B0000003JK1iIAG","210","true","Mobile Site","Desktop Site","Internal;Parter;Customer;Public","false",,"2020-02-07T19:46:56.000Z","Online","2022-09-09","true","Home","true","1.0","2022-07-31","2022-07-25","a4CB00000000EnNMAU","true","005B0000003JK1iIAG",,33,2,8.94,9.618
,,,"2022-08-10",,,"005B0000003JK1iIAG","211",,"App","Desktop Site",,"true",,,,"2022-09-09",,,,,"2022-08-02","2022-08-01","a4CB00000000EnOMAU",,"005B0000003JK1iIAG",,28,5,4.46,1.009
,,,"2022-07-18",,,"005B0000003JK1iIAG","212",,"Desktop Site","App",,"true",,,,"2022-09-09",,,,,"2022-07-13","2022-07-07","a4CB00000000EnPMAU",,"005B0000003JK1iIAG",,87,2,1.621,2.348
,,,"2022-08-05",,,"005B0000003JK1iIAG","213",,"Desktop Site","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-08-04","2022-08-01","a4CB00000000EnQMAU",,"005B0000003JK1iIAG",,5,3,3.459,9.17
,,,"2022-08-22",,,"005B0000003JK1iIAG","214",,"App","Mobile Site",,"true",,,,"2022-09-09",,,,,"2022-08-18","2022-08-09","a4CB00000000EnRMAU",,"005B0000003JK1iIAG",,31,1,8.534,3.502
