"ProductFamily","OrderEffectiveDate","ProductName","LastProcessedDate","OrderAccountName","OrderParentName","UnitPrice","TotalPrice","Quantity"
"Alpine Energy","2021-12-20","YetiBar Tart Cherry/Bison Paleo","2021-09-27","Wilson School District","Permadyne GmbH, LTD",4.99,998,20
"BigfootBar","2021-11-24","Alpine Energy Drink - Chai","2021-09-27","Ludwig Office Park","Advanced Communications",2.05,358.75,18
"YetiBar","2021-05-28","GoBar Veggie Vegan","2021-09-27","NTO Fields","Ohana Technologies",2.99,1121.25,38
"Trenchers","2020-08-26","YetiBar Tart Cherry/Chicken Paleo","2021-09-27","NTO Headquarters","Ohana Technologies",4.99,2495,50
"Alpine Energy","2022-01-27","BigfootBar Tart Cherry/Pistachio","2021-09-27","Greenvalley Mall","Advanced Communications",2.99,672.75,23
"BigfootBar","2021-08-12","GoBar Apple Vegan","2021-09-27","NTO Stadium","Permadyne GmbH, LTD",2.99,448.5,15
"Alpine Energy","2020-02-21","YetiBar Blueberry/Chicken Paleo","2021-09-27","ReadyFitness Gyms","Ohana Technologies",4.99,2370.25,48
"GoBar","2020-10-22","Alpine Energy Drink - Tart Cherry","2021-09-27","Wilson School District","Advanced Communications",2.05,666.25,33
"YetiBar","2020-07-17","BigfootBar Blueberry/Sunflower ","2021-09-27","Anderson School District","Ohana Technologies",2.99,1196,40
"Alpine Energy","2020-06-08","YetiBar Cranberry/Bison Paleo","2021-09-27","Omega Incorporated","Ohana Technologies",4.99,1746.5,35
"BigfootBar","2020-10-03","GoBar Mixed Berry","2021-09-27","NTO Stadium","Permadyne GmbH, LTD",2.99,747.5,25
"GoBar","2021-05-30","Alpine Energy Drink - Green Tea","2021-09-27","Greenvalley Mall","Advanced Communications",2.05,871.25,43
"Trenchers","2021-10-14","BigfootBar Cranberry/Sunflower","2021-09-27","Ludwig Office Park","Ohana Technologies",2.99,224.25,8
"Alpine Energy","2021-02-02","YetiBar Cranberry/Chicken Paleo","2021-09-27","Omega Incorporated","Ohana Technologies",4.99,2245.5,45
"YetiBar","2022-02-03","BigfootBar Tart Cherry/Sunflower","2021-09-27","Wilson School District","Ohana Technologies",2.99,149.5,5
"GoBar","2020-02-22","YetiBar Blueberry/Bison Paleo","2021-09-27","Wilson School District","Advanced Communications",4.99,1497,30
"BigfootBar","2020-10-07","GoBar Cranberry High Protein","2021-09-27","Anderson School District","Ohana Technologies",2.99,1046.5,35
"Trenchers","2020-02-19","BigfootBar Blueberry/Pistachio","2021-09-27","NTO Headquarters","Permadyne GmbH, LTD",2.99,299,10
"Alpine Energy","2020-08-01","GoBar Cranberry Vegan","2021-09-27","ReadyFitness Gyms","Ohana Technologies",2.99,523.25,18
"Alpine Energy","2021-01-09","BigfootBar Cranberry/Pistachio","2021-09-27","NTO Fields","Advanced Communications",2.99,224.25,8
"YetiBar","2021-03-12","GoBar Mixed Berry","2021-09-27","NTO Stadium","Advanced Communications",2.99,822.25,28
"GoBar","2020-10-31","BigfootBar Blueberry/Pistachio","2021-09-27","Ludwig Office Park","Permadyne GmbH, LTD",2.99,672.75,23
"Alpine Energy","2021-12-19","YetiBar Tart Cherry/Chicken Paleo","2021-09-27","NTO Headquarters","Ohana Technologies",4.99,249.5,5
"Alpine Energy","2020-05-17","Alpine Energy Drink - Green Tea","2021-09-27","NTO Fields","Ohana Technologies",2.05,666.25,33
"Trenchers","2021-09-02","Alpine Energy Drink - Tart Cherry","2021-09-27","ReadyFitness Gyms","Ohana Technologies",2.05,307.5,15
"BigfootBar","2021-03-13","BigfootBar Blueberry/Sunflower ","2021-09-27","Omega Incorporated","Advanced Communications",2.99,598,20
"Alpine Energy","2020-11-29","BigfootBar Tart Cherry/Sunflower","2021-09-27","Anderson School District","Permadyne GmbH, LTD",2.99,1121.25,38
"GoBar","2021-08-27","GoBar Veggie Vegan","2021-09-27","Wilson School District","Ohana Technologies",2.99,897,30
"YetiBar","2021-06-05","GoBar Cranberry Vegan","2021-09-27","Greenvalley Mall","Ohana Technologies",2.99,299,10
"BigfootBar","2020-05-10","YetiBar Blueberry/Chicken Paleo","2021-09-27","Wilson School District","Advanced Communications",4.99,623.75,13
"BigfootBar","2020-12-30","GoBar Cranberry High Protein","2021-09-27","Greenvalley Mall","Advanced Communications",2.99,1196,40
"Alpine Energy","2021-10-15","YetiBar Blueberry/Bison Paleo","2021-09-27","Anderson School District","Ohana Technologies",4.99,1247.5,25
