"Account_ID","Account_Name","Sum_of_Revenue"
"0014x00001KSH3nAAH","Omega, Inc.",3235000
"0014x00001KSH3nAAH","Omega, Inc.",3090000
"0014x00001KSH3nAAH","Omega, Inc.",3120000
"0014x00001KSH3nAAH","Omega, Inc.",5760000
"0014x00001KSH3nAAH","Omega, Inc.",5975000
"0014x00001KSH3nAAH","Omega, Inc.",6030000
"0014x00001KSH3nAAH","Omega, Inc.",4315000
"0014x00001KSH3nAAH","Omega, Inc.",4235000
"0014x00001KSH3nAAH","Omega, Inc.",4155000
"0014x00001KSH3nAAH","Omega, Inc.",2990000
"0014x00001KSH3nAAH","Omega, Inc.",2900000
"0014x00001KSH3nAAH","Omega, Inc.",3005000
"0014x00001KSH3nAAH","Omega, Inc.",3195000
"0014x00001KSH3nAAH","Omega, Inc.",3005000
"0014x00001KSH3nAAH","Omega, Inc.",3270000
"0014x00001KSH3nAAH","Omega, Inc.",5905000
"0014x00001KSH3nAAH","Omega, Inc.",5990000
"0014x00001KSH3nAAH","Omega, Inc.",6045000
"0014x00001KSH3nAAH","Omega, Inc.",4215000
"0014x00001KSH3nAAH","Omega, Inc.",4305000
"0014x00001KSH3nAAH","Omega, Inc.",4350000
"0014x00001KSH3nAAH","Omega, Inc.",2735000
"0014x00001KSH3nAAH","Omega, Inc.",2925000
"0014x00001KSH3nAAH","Omega, Inc.",3050000
"0014x00001KSH3nAAH","Omega, Inc.",2905000
"0014x00001KSH3nAAH","Omega, Inc.",3130000
"0014x00001KSH3nAAH","Omega, Inc.",4490000
"0014x00001KSH3nAAH","Omega, Inc.",5165000
"0014x00001KSH3nAAH","Omega, Inc.",5480000
"0014x00001KSH3nAAH","Omega, Inc.",6030000
"0014x00001KSH3nAAH","Omega, Inc.",4315000
"0014x00001KSH3nAAH","Omega, Inc.",4235000
"0014x00001KSH3nAAH","Omega, Inc.",4350000
"0014x00001KSH3nAAH","Omega, Inc.",2735000
"0014x00001KSH3nAAH","Omega, Inc.",2925000
"0014x00001KSH3nAAH","Omega, Inc.",3050000
