"Status","Case_ID","Account_ID","Closed","Account_Name"
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
"Waiting on Customer","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
"New","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"New","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Working","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"New","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
"New","5004x00000KvRK3AAN","0014x00001KSH3nAAH","FALSE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
"Closed","5004x00000KvRK3AAN","0014x00001KSH3nAAH","TRUE","Omega, Inc."
