"Status","Account_ID","Closed","Account_Name"
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Closed","0015w00002DFNcIAAX","true","5207"
"Working","0015w00002DFNcIAAX","false","5207"
"Closed","0015w00002DFNfaAAH","true","ABCpoint.com"
"Closed","0015w00002DFNfaAAH","true","ABCpoint.com"
"Closed","0015w00002DFNfaAAH","true","ABCpoint.com"
"Closed","0015w00002DFNfaAAH","true","ABCpoint.com"
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
"Waiting on Customer","0015w00002DLYA2AAP","false","Ohana, Inc."
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
"New","0015w00002DLYA2AAP","false","Ohana, Inc."
"New","0015w00002DLYA2AAP","false","Ohana, Inc."
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"Working","0015w00002DLYA2AAP","false","Ohana, Inc."
"New","0015w00002DLYA2AAP","false","Ohana, Inc."
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
"New","0015w00002DLYA2AAP","false","Ohana, Inc."
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
"Closed","0015w00002DLYA2AAP","true","Ohana, Inc."
