"ProductName","WorkOrderId","ProductConsumedNumber","QuantityUnitOfMeasure","Id","QuantityConsumed"
"Battery, Low Capacity","0WO2X000000w90eWAA","PC-001",,"0Gv2X000000DoLlSAK",1
"Remote Monitoring Subscription","0WO2X000000w90cWAA","PC-005",,"0Gv2X000000DoLmSAK",1
"Intelligent Optimization Service License","0WO2X000000w90gWAA","PC-007",,"0Gv2X000000DoLnSAK",1
"Power Inverter","0WO2X000000w90hWAA","PC-008",,"0Gv2X000000DoLoSAK",1
"Power Inverter","0WO2X000000w90fWAA","PC-009",,"0Gv2X000000DoLpSAK",1
"Power Inverter","0WO2X000000w90dWAA","PC-010",,"0Gv2X000000DoLqSAK",1
"Battery, Low Capacity","0WO2X000000w90iWAA","PC-014",,"0Gv2X000000DoLrSAK",1
"Power Inverter","0WO2X000000w90bWAA","PC-015",,"0Gv2X000000DoLsSAK",1
"Remote Monitoring Subscription","0WO2X000000w90jWAA","PC-017",,"0Gv2X000000DoLtSAK",1
"Large Turbine","0WO2X000000w90kWAA","PC-018",,"0Gv2X000000DoLuSAK",1
"Battery, Low Capacity","0WO2X000000w94oWAA","PC-021",,"0Gv2X000000DoLvSAK",1
"Battery, Low Capacity","0WO2X000000w94nWAA","PC-024",,"0Gv2X000000DoLwSAK",1
"Battery, Low Capacity","0WO2X000000w94mWAA","PC-025",,"0Gv2X000000DoLxSAK",1
"Maintenance Contract","0WO2X000000w94lWAA","PC-028",,"0Gv2X000000DoLySAK",1
"Battery, Low Capacity","0WO2X000000w95lWAA","PC-032",,"0Gv2X000000DoLzSAK",1
"Large Turbine","0WO2X000000w95mWAA","PC-034",,"0Gv2X000000DoM0SAK",1
"Connector Cables","0WO2X000000w95nWAA","PC-037","Each","0Gv2X000000DoM1SAK",1
"Battery, High Capacity","0WO2X000000w95oWAA","PC-038",,"0Gv2X000000DoM2SAK",1
"Large Turbine","0WO2X000000w95pWAA","PC-041",,"0Gv2X000000DoM3SAK",1
"Mounting System","0WO2X000000w95qWAA","PC-042",,"0Gv2X000000DoM4SAK",1
"Battery, Low Capacity","0WO2X000000w95rWAA","PC-043",,"0Gv2X000000DoM5SAK",1
"Battery, Low Capacity","0WO2X000000w95gWAA","PC-044",,"0Gv2X000000DoM6SAK",1
"Installation Services","0WO2X000000w95hWAA","PC-046",,"0Gv2X000000DoM7SAK",1
"Connector Cables","0WO2X000000w95jWAA","PC-047","Each","0Gv2X000000DoM8SAK",1
