"IsDeleted","Skill.IsDeleted","Skill.Description","WorkType.Name","Skill.DeveloperName","SkillId","Id","RelatedRecordId","Skill.Language","SkillNumber","Skill.MasterLabel","SkillLevel"
"false","false","LS Skill","Maintenance Training (In a Center)","Turbine_Maintenance","0C52X000000TTTvSAO","0Hx2X000000cjPZSAY","08q2X000000cU8GQAU","en_US","SREQ-411","Turbine Maintenance",
"false","false","LS Skill","Maintenance Training (Virtual)","Turbine_Maintenance","0C52X000000TTTvSAO","0Hx2X000000cjPaSAI","08q2X000000cU8NQAU","en_US","SREQ-412","Turbine Maintenance",
"false","false","LS Skill","Safety Training (In a Center)","Saftey_Training","0C52X000000TTTrSAO","0Hx2X000000cjPbSAI","08q2X000000cU8FQAU","en_US","SREQ-413","Saftey Training",
"false","false","LS Skill","Safety Training (Virtual)","Saftey_Training","0C52X000000TTTrSAO","0Hx2X000000cjPcSAI","08q2X000000cU8LQAU","en_US","SREQ-414","Saftey Training",
"false","false","LS Skill","Troubleshooting Turbines (In a Center)","Turbine_Maintenance","0C52X000000TTTvSAO","0Hx2X000000cjPdSAI","08q2X000000cU8IQAU","en_US","SREQ-415","Turbine Maintenance",
"false","false","LS Skill","Troubleshooting Turbines (In a Center)","Mechanical_Failures","0C52X000000TTTxSAO","0Hx2X000000cjPeSAI","08q2X000000cU8IQAU","en_US","SREQ-416","Mechanical Failures",
"false","false","LS Skill","Troubleshooting Turbines (In a Center)","Hydraulic_Failures","0C52X000000TTTySAO","0Hx2X000000cjPfSAI","08q2X000000cU8IQAU","en_US","SREQ-417","Hydraulic Failures",
"false","false","LS Skill","Troubleshooting Turbines (In a Center)","Electrical_Failures","0C52X000000TTTwSAO","0Hx2X000000cjPgSAI","08q2X000000cU8IQAU","en_US","SREQ-418","Electrical Failures",
"false","false","LS Skill","Troubleshooting Turbines (Virtual)","Turbine_Maintenance","0C52X000000TTTvSAO","0Hx2X000000cjPhSAI","08q2X000000cU8MQAU","en_US","SREQ-419","Turbine Maintenance",
"false","false","LS Skill","Troubleshooting Turbines (Virtual)","Mechanical_Failures","0C52X000000TTTxSAO","0Hx2X000000cjPiSAI","08q2X000000cU8MQAU","en_US","SREQ-420","Mechanical Failures",
