"ANALYTICSDEMO_BATCH_ID_C","OLDVALUE","CREATEDDATE","FIELD","NEWVALUE","LastProcessedDate","LEADID"
"20190909101048549094","Unqualified","2019-05-26","Status","Unqualified","2019-09-09","W_Lead.1"
"20190909101048549094","Unqualified","2019-05-31","Status","New","2019-09-09","W_Lead.1"
"20190909101048549094","New","2019-06-01","Status","Working - Contacted","2019-09-09","W_Lead.1"
"20190909101048549094","Working - Contacted","2019-06-03","Status","Nurturing - Contacted","2019-09-09","W_Lead.1"
"20190909101048549094","Unqualified","2019-08-31","Status","Unqualified","2019-09-09","W_Lead.2"
"20190909101048549094","Unqualified","2019-09-04","Status","New","2019-09-09","W_Lead.2"
"20190909101048549094","New","2019-09-06","Status","Working - Contacted","2019-09-09","W_Lead.2"
"20190909101048549094","Unqualified","2019-08-19","Status","Unqualified","2019-09-09","W_Lead.3"
"20190909101048549094","Unqualified","2019-08-27","Status","New","2019-09-09","W_Lead.3"
"20190909101048549094","New","2019-08-27","Status","Working - Contacted","2019-09-09","W_Lead.3"
"20190909101048549094","Working - Contacted","2019-09-02","Status","Nurturing - Contacted","2019-09-09","W_Lead.3"
"20190909101048549094","Nurturing - Contacted","2019-09-05","Status","Converted","2019-09-09","W_Lead.3"
"20190909101048549094","Unqualified","2019-08-26","Status","Unqualified","2019-09-09","W_Lead.4"
"20190909101048549094","Unqualified","2019-08-26","Status","New","2019-09-09","W_Lead.4"
"20190909101048549094","New","2019-08-26","Status","Working - Contacted","2019-09-09","W_Lead.4"
"20190909101048549094","Unqualified","2019-08-31","Status","Unqualified","2019-09-09","W_Lead.5"
"20190909101048549094","Unqualified","2019-09-06","Status","New","2019-09-09","W_Lead.5"
"20190909101048549094","Unqualified","2019-08-16","Status","Unqualified","2019-09-09","W_Lead.6"
"20190909101048549094","Unqualified","2019-08-25","Status","New","2019-09-09","W_Lead.6"
"20190909101048549094","New","2019-08-28","Status","Working - Contacted","2019-09-09","W_Lead.6"
"20190909101048549094","Unqualified","2019-08-15","Status","Unqualified","2019-09-09","W_Lead.7"
"20190909101048549094","Unqualified","2019-08-24","Status","New","2019-09-09","W_Lead.7"
"20190909101048549094","New","2019-08-26","Status","Working - Contacted","2019-09-09","W_Lead.7"
"20190909101048549094","Unqualified","2019-08-22","Status","Unqualified","2019-09-09","W_Lead.8"
"20190909101048549094","Unqualified","2019-08-23","Status","New","2019-09-09","W_Lead.8"
"20190909101048549094","New","2019-08-23","Status","Working - Contacted","2019-09-09","W_Lead.8"
"20190909101048549094","Working - Contacted","2019-08-23","Status","Nurturing - Contacted","2019-09-09","W_Lead.8"
"20190909101048549094","Nurturing - Contacted","2019-08-24","Status","Closed - Not Converted","2019-09-09","W_Lead.8"
"20190909101048549094","Unqualified","2019-09-04","Status","Unqualified","2019-09-09","W_Lead.9"
"20190909101048549094","Unqualified","2019-08-14","Status","Unqualified","2019-09-09","W_Lead.10"
"20190909101048549094","Unqualified","2019-08-15","Status","New","2019-09-09","W_Lead.10"
"20190909101048549094","New","2019-08-15","Status","Working - Contacted","2019-09-09","W_Lead.10"
"20190909101048549094","Working - Contacted","2019-08-15","Status","Nurturing - Contacted","2019-09-09","W_Lead.10"
"20190909101048549094","Nurturing - Contacted","2019-08-17","Status","Closed - Not Converted","2019-09-09","W_Lead.10"
"20190909101048549094","Unqualified","2019-08-23","Status","Unqualified","2019-09-09","W_Lead.11"
"20190909101048549094","Unqualified","2019-08-24","Status","New","2019-09-09","W_Lead.11"
"20190909101048549094","New","2019-08-24","Status","Working - Contacted","2019-09-09","W_Lead.11"
"20190909101048549094","Working - Contacted","2019-08-25","Status","Nurturing - Contacted","2019-09-09","W_Lead.11"
"20190909101048549094","Unqualified","2019-08-24","Status","Unqualified","2019-09-09","W_Lead.12"
"20190909101048549094","Unqualified","2019-08-29","Status","New","2019-09-09","W_Lead.12"
"20190909101048549094","New","2019-08-29","Status","Working - Contacted","2019-09-09","W_Lead.12"
"20190909101048549094","Working - Contacted","2019-09-03","Status","Nurturing - Contacted","2019-09-09","W_Lead.12"
"20190909101048549094","Unqualified","2019-06-04","Status","Unqualified","2019-09-09","W_Lead.13"
"20190909101048549094","Unqualified","2019-08-14","Status","New","2019-09-09","W_Lead.13"
"20190909101048549094","New","2019-08-20","Status","Working - Contacted","2019-09-09","W_Lead.13"
"20190909101048549094","Working - Contacted","2019-09-03","Status","Nurturing - Contacted","2019-09-09","W_Lead.13"
"20190909101048549094","Nurturing - Contacted","2019-09-07","Status","Closed - Not Converted","2019-09-09","W_Lead.13"
"20190909101048549094","Unqualified","2019-09-09","Status","Unqualified","2019-09-09","W_Lead.14"
"20190909101048549094","Unqualified","2019-09-09","Status","New","2019-09-09","W_Lead.14"
"20190909101048549094","New","2019-09-09","Status","Working - Contacted","2019-09-09","W_Lead.14"
"20190909101048549094","Working - Contacted","2019-09-09","Status","Nurturing - Contacted","2019-09-09","W_Lead.14"
"20190909101048549094","Unqualified","2019-08-19","Status","Unqualified","2019-09-09","W_Lead.15"
"20190909101048549094","Unqualified","2019-08-19","Status","New","2019-09-09","W_Lead.15"
"20190909101048549094","New","2019-08-20","Status","Working - Contacted","2019-09-09","W_Lead.15"
"20190909101048549094","Unqualified","2019-08-25","Status","Unqualified","2019-09-09","W_Lead.16"
"20190909101048549094","Unqualified","2019-08-26","Status","New","2019-09-09","W_Lead.16"
"20190909101048549094","New","2019-08-26","Status","Working - Contacted","2019-09-09","W_Lead.16"
"20190909101048549094","Working - Contacted","2019-08-27","Status","Nurturing - Contacted","2019-09-09","W_Lead.16"
"20190909101048549094","Nurturing - Contacted","2019-08-28","Status","Converted","2019-09-09","W_Lead.16"
"20190909101048549094","Unqualified","2019-08-21","Status","Unqualified","2019-09-09","W_Lead.17"
"20190909101048549094","Unqualified","2019-08-26","Status","New","2019-09-09","W_Lead.17"
"20190909101048549094","New","2019-08-28","Status","Working - Contacted","2019-09-09","W_Lead.17"
"20190909101048549094","Unqualified","2019-08-17","Status","Unqualified","2019-09-09","W_Lead.18"
"20190909101048549094","Unqualified","2019-08-24","Status","New","2019-09-09","W_Lead.18"
"20190909101048549094","New","2019-08-27","Status","Working - Contacted","2019-09-09","W_Lead.18"
"20190909101048549094","Working - Contacted","2019-08-27","Status","Nurturing - Contacted","2019-09-09","W_Lead.18"
"20190909101048549094","Nurturing - Contacted","2019-09-01","Status","Closed - Not Converted","2019-09-09","W_Lead.18"
"20190909101048549094","Unqualified","2019-08-21","Status","Unqualified","2019-09-09","W_Lead.19"
