"RetailStoreGroup_Name","StoreType","Location_Address_City","Location_Address_State","Priority","OrderItem_Unique_Products","Avg_High_Priority_Visits_Planned","Case_Cases_Count","RetailVisitKpi_Number_of_Promotions","Avg_Products","Facing_Compliance","Avg_Visits_Planned","Avg_InStore_Locations","NetPromoterScore","PlannedVisits_Total_Visits_Planned","Promotion_Compliance","Avg_Promotions","Avg_Facing_Compliance","Avg_Promotion_Compliance","PlannedVisits_Total_High_Priority_Visits_Planned","InStoreLocation_Number_of_InStoreLocations","Avg_Visit_Duration","Avg_SoS_Compliance","ShareOfShelf_Compliance","OutOfStock_Compliance","Percent_High_Priority_Visits_Completed","Percent_Successful_Visits","OrderItem_Quantity","Avg_OOS_Compliance"
"Northeast","Regular","New Orleans","LA","Low",20,5.12,,5,18,88.6,17.56,2,0,16,0,0.2,87.33,0,6,2,49,80.28,87.19,31.03,50,93.33,6786,29.9
"Midwest","Regular","Sioux Falls","SD","High",20,5.12,,5,18,86.34,17.56,2,0,14,0,0.2,87.33,0,2,2,54,80.28,83.04,32,50,66.67,6456,29.9
"West","Regular","Baltimore","MD","Medium",20,5.12,,5,18,85.73,17.56,2,0,26,0,0.2,87.33,0,8,2,56,80.28,81.57,33.33,25,66.67,10325,29.9
"Bay Area","Regular","Kulpsville","PA","Low",20,5.12,,5,18,90.23,17.56,2,0,15,0,0.2,87.33,0,5,2,57,80.28,75.57,36,100,100,9427,29.9
"South","Regular","Middle Island","NY","Low",20,5.12,,5,18,93.59,17.56,2,0,18,0,0.2,87.33,0,6,2,50,80.28,77.51,27.27,50,78.57,12451,29.9
"Northeast","Regular","Los Angeles","CA","High",14,5.12,,5,18,74.96,17.56,2,0,21,0,0.2,87.33,0,5,2,57,80.28,85.79,30.56,60,80,4615,29.9
"Midwest","Regular","Chagrin Falls","OH","Medium",17,5.12,,5,18,84.99,17.56,2,0,16,0,0.2,87.33,0,4,2,50,80.28,78.26,26.92,50,81.82,6378,29.9
"West","Regular","Laredo","TX","Low",18,5.12,,5,18,76.4,17.56,2,0,18,0,0.2,87.33,0,4,2,45,80.28,83.22,28.13,100,93.75,4324,29.9
"Bay Area","Regular","Phoenix","AZ","Low",17,5.12,,5,18,90.59,17.56,2,0,21,0,0.2,87.33,0,7,2,48,80.28,77.78,24.24,71.43,88.24,7139,29.9
"South","Regular","Mc Minnville","TN","High",20,5.12,,5,18,93.03,17.56,2,0,13,0,0.2,87.33,0,3,2,56,80.28,72.91,18.18,66.67,81.82,18516,29.9
"Northeast","Regular","Milwaukee","WI","Medium",18,5.12,,5,18,79.58,17.56,2,0,21,0,0.2,87.33,0,4,2,56,80.28,82.43,25,50,88.89,6543,29.9
"Midwest","Regular","Taylor","MI","Low",18,5.12,,5,18,78.64,17.56,2,0,20,0,0.2,87.33,0,3,2,54,80.28,85.09,29.41,33.33,93.33,5661,29.9
"West","Regular","Rockford","IL","Low",20,5.12,,5,18,86.63,17.56,2,0,17,0,0.2,87.33,0,5,2,48,80.28,81.4,28.13,120,93.33,7469,29.9
"Bay Area","Regular",,,"High",17,5.12,,5,18,89.81,17.56,2,0,19,0,0.2,87.33,0,6,2,53,80.28,76.66,34.38,50,72.22,8347,29.9
"South","Regular","San Jose","CA","Medium",20,5.12,,5,18,96.51,17.56,2,0,23,0,0.2,87.33,0,8,2,52,80.28,76.8,35.14,62.5,94.74,8814,29.9
"Northeast","Regular","Irving","TX","Low",20,5.12,,5,18,86.53,17.56,2,0,18,0,0.2,87.33,0,4,2,55,80.28,84.08,40.63,100,92.86,9978,29.9
"Midwest","Regular","Albany","NY","Low",20,5.12,,5,18,86.41,17.56,2,0,20,0,0.2,87.33,0,5,2,55,80.28,88.81,25.81,80,81.25,10224,29.9
"West","Regular","San Jose","CA","High",20,5.12,,5,18,89.94,17.56,2,0,12,0,0.2,87.33,0,6,2,47,80.28,86.83,30.43,83.33,83.33,10027,29.9
"Bay Area","Regular","Chicago","IL","Medium",20,5.12,,5,18,83.92,17.56,2,0,16,0,0.2,87.33,0,5,2,57,80.28,68.34,40,60,100,9331,29.9
"South","Regular","Ashland","OH","Low",19,5.12,,5,18,88.33,17.56,2,0,12,0,0.2,87.33,0,6,2,56,80.28,69.6,26.32,66.67,80,7167,29.9
"Northeast","Regular","Hamilton","OH","Low",20,5.12,,5,18,89.85,17.56,2,0,21,0,0.2,87.33,0,5,2,50,80.28,89.38,12.82,60,73.68,7325,29.9
"Midwest","Regular","Anchorage","AK","High",20,5.12,,5,18,89.81,17.56,2,0,14,0,0.2,87.33,0,4,2,51,80.28,84.9,29.63,25,80,11056,29.9
"West","Regular","Bridgeport","NJ","Medium",20,5.12,,5,18,87.74,17.56,2,0,12,0,0.2,87.33,0,4,2,65,80.28,78.45,22.73,100,81.82,9322,29.9
"Bay Area","Regular","Brighton","MI","Low",17,5.12,,5,18,89.61,17.56,2,0,16,0,0.2,87.33,0,6,2,59,80.28,76.59,47.83,100,92.31,7626,29.9
"South","Regular","Middlesex","NJ","Low",18,5.12,,5,18,95.52,17.56,2,0,20,0,0.2,87.33,0,7,2,52,80.28,74.89,31.58,57.14,84.21,3883,29.9
