"ArticleVersion.IsVisibleInApp","ArticleVersion.DataCategory.DataCategoryGroupName","ArticleVersion.IsVisibleInPrm","LastPublishedDate","ArticleVersion.DataCategory.DataCategoryName","CreatedById","ArticleNumber","ArticleVersion.CreatedDate","ArticleVersion.IsVisibleInCsp","ChannelList","ViewStat.Channel","IsDraft","ArticleVersion.IsVisibleInPkb","ArticleVersion.OwnerId","User.Name","ArticleVersion.VersionNumber","ArticleVersion.Id","VoteStat.Channel","ArticleVersion.IsLatestVersion","ArticleVersion.CreatedById","ArticleVersion.Title","FirstPublishedDate","CreatedDate","ArticleVersion.PublishStatus","Id","LastModifiedById","VoteStat.NormalizedScore","ViewStat.ViewCount","ViewStat.NormalizedScore","CaseAssociationCount"
,,,"2020-01-20T16:12:30.000Z",,"005B0000003JK1iIAG","176",,,,"Mobile Site","true",,,,,,"Desktop Site",,,,"2020-01-16T16:12:30.000Z","2020-01-08T16:12:30.000Z",,"a4CB00000000EmpMAE","005B0000003JK1iIAG",1.624,45,1.855,5
"true",,"true","2020-03-08T23:56:15.000Z",,"005B0000003JK1iIAG","177","2020-02-20T23:56:15.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmGMAU","Mobile Site","true","005B0000003JK1iIAG","Home","2020-02-29T23:56:15.000Z","2020-02-20T23:56:15.000Z","Online","a4CB00000000EmqMAE","005B0000003JK1iIAG",9.605,88,9.833,3
"true",,"true","2020-01-27T16:10:13.000Z",,"005B0000003JK1iIAG","178","2020-01-13T16:10:13.000Z","true","Internal;Parter;Customer;Public","Desktop Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmHMAU","App","true","005B0000003JK1iIAG","Beauty","2020-01-19T16:10:13.000Z","2020-01-13T16:10:13.000Z","Online","a4CB00000000EmrMAE","005B0000003JK1iIAG",9.539,79,2.655,1
,,,"2020-03-06T17:35:35.000Z",,"005B0000003JK1iIAG","179",,,,"App","true",,,,,,"App",,,,"2020-03-03T17:35:35.000Z","2020-02-27T17:35:35.000Z",,"a4CB00000000EmsMAE","005B0000003JK1iIAG",8.58,53,5.727,4
"true",,"true","2020-02-21T19:09:06.000Z",,"005B0000003JK1iIAG","180","2020-02-10T19:09:06.000Z","true","Internal;Parter;Customer;Public","App","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmJMAU","App","true","005B0000003JK1iIAG","Health","2020-02-13T19:09:06.000Z","2020-02-10T19:09:06.000Z","Online","a4CB00000000EmtMAE","005B0000003JK1iIAG",4.395,43,4.247,2
"true",,"true","2020-02-01T17:01:23.000Z",,"005B0000003JK1iIAG","181","2020-01-20T17:01:23.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmKMAU","Desktop Site","true","005B0000003JK1iIAG","Sports","2020-01-24T17:01:23.000Z","2020-01-20T17:01:23.000Z","Online","a4CB00000000EmuMAE","005B0000003JK1iIAG",4.66,8,7.348,4
,,,"2020-02-05T22:30:24.000Z",,"005B0000003JK1iIAG","182",,,,"Desktop Site","true",,,,,,"Mobile Site",,,,"2020-01-27T22:30:24.000Z","2020-01-19T22:30:24.000Z",,"a4CB00000000EmvMAE","005B0000003JK1iIAG",6.594,79,9.41,5
"true",,"true","2020-03-04T21:56:55.000Z",,"005B0000003JK1iIAG","183","2020-02-19T21:56:55.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmMMAU","Desktop Site","true","005B0000003JK1iIAG","Outdoors","2020-02-24T21:56:55.000Z","2020-02-19T21:56:55.000Z","Online","a4CB00000000EmwMAE","005B0000003JK1iIAG",7.817,51,4.046,1
,,,"2020-03-07T18:55:40.000Z",,"005B0000003JK1iIAG","184",,,,"Desktop Site","true",,,,,,"Desktop Site",,,,"2020-02-29T18:55:40.000Z","2020-02-28T18:55:40.000Z",,"a4CB00000000EmxMAE","005B0000003JK1iIAG",4.374,74,5.379,2
"true",,"true","2020-02-20T22:14:28.000Z",,"005B0000003JK1iIAG","185","2020-02-08T22:14:28.000Z","true","Internal;Parter;Customer;Public","Mobile Site","false","true","005B0000003JK1iIAG",,"1.0","a4DB0000001aZmOMAU","Desktop Site","true","005B0000003JK1iIAG","Industrial","2020-02-14T22:14:28.000Z","2020-02-08T22:14:28.000Z","Online","a4CB00000000EmyMAE","005B0000003JK1iIAG",5.499,92,4.329,3
