External_Id__c,Owner.External_Id__c,Account.External_Id__c,Contact.External_Id__c,CreatedDate__c,ClosedDate__c,LastActivityDate__c,Origin,Tier,Product_Family_KB__c,Priority,SLA,Reason,Type_of_Support__c,CSAT__c,Status,First_Contact_Close__c,Time_Open__c,Team__c,close_date_offset,Offer_Voucher__c,Send_FieldService__c,IsEscalated,MilestoneStatus__c,analyticsdemo_batch_id__c
W_Case.2,W_Services_User.10,W_Account.3,W_Services_Contact.3,2019-11-22 11:15:00,2019-11-22 11:15:00,2019-11-22,Chat,Tier 1,Cell Phones,High,Compliant,Item Damaged,Basic,77.5,Closed,true,0,Central CSR,405,false,false,true,Closed - Compliant,20200113100000003249
W_Case.3,W_Services_User.2,W_Account.4,W_Services_Contact.4,2020-01-04 14:34:10,2020-03-16 14:34:10,2020-01-08,Chat,Tier 1,Cell Phones,High,Violation,Hardware Question,Basic,77.766497462,Working,false,72,West CSR,290,false,false,true,Open - Violation,20200113100000003249
W_Case.4,W_Services_User.16,W_Account.5,W_Services_Contact.5,2019-12-07 14:31:47,2019-12-07 14:31:47,2019-12-07,Chat,Tier 1,Computers,Medium,Compliant,Late Delivery,Platinum,78.18781725599999,Closed,true,0,East CSR,390,false,false,true,Closed - Compliant,20200113100000003249
W_Case.5,W_Services_User.5,W_Account.5,W_Services_Contact.5,2019-12-22 16:34:29,2019-12-22 16:34:29,2019-12-22,Chat,Tier 3,Computers,Low,Compliant,Hardware Question,Platinum,84.543147207,Closed,true,0,West CSR,375,false,true,false,Closed - Compliant,20200113100000003249
W_Case.6,W_Services_User.4,W_Account.7,W_Services_Contact.7,2020-01-10 13:22:25,2020-01-10 13:22:25,2020-01-10,Chat,Tier 2,Headphones,Low,Compliant,Late Delivery,Silver,74.835532994,Closed,true,0,West CSR,356,false,false,false,Closed - Compliant,20200113100000003249
W_Case.8,W_Services_User.13,W_Account.10,W_Services_Contact.10,2019-12-23 12:07:46,2019-12-23 12:07:46,2019-12-23,Chat,Tier 1,Tablets,High,Compliant,Hardware Question,Silver,80.253807105,Closed,true,0,East CSR,374,false,false,true,Closed - Compliant,20200113100000003249
W_Case.10,W_Services_User.8,W_Account.12,W_Services_Contact.12,2019-11-21 13:34:22,2019-11-21 13:34:22,2019-11-21,Chat,Tier 3,TVs,Low,Compliant,Item Damaged,Free,76.79695431600001,Closed,true,0,Central CSR,406,false,false,false,Closed - Compliant,20200113100000003249
W_Case.11,W_Services_User.14,W_Account.12,W_Services_Contact.12,2019-12-15 16:53:00,2020-01-20 16:53:00,2019-12-21,Chat,Tier 1,Video Games,High,Compliant,Item Damaged,Free,78.15989848000001,Response Received,false,36,East CSR,346,false,true,true,Open - Compliant,20200113100000003249
W_Case.12,W_Services_User.16,W_Account.12,W_Services_Contact.12,2019-11-28 13:33:48,2019-11-28 13:33:48,2019-11-28,Chat,Tier 1,Video Games,High,Compliant,Item Damaged,Free,74.20558375600001,Closed,true,0,East CSR,399,false,false,true,Closed - Compliant,20200113100000003249
W_Case.13,W_Services_User.4,W_Account.13,W_Services_Contact.13,2019-12-06 16:22:58,2019-12-06 16:22:58,2019-12-06,Chat,Tier 1,Video Games,High,Compliant,Item Damaged,Free,74.59390862999999,Closed,true,0,West CSR,391,false,false,true,Closed - Compliant,20200113100000003249
