"AccountId","DeliveryMethod","Description","PrimaryContactId","Priority","LocationId","Name","StoreType","OwnerId","Product_Id_with_Name","RetailLocationGroupId","Id","Key","DeliveryFrequency"
"001B000001AQUOuIAP","Van",,"003B000000H1QccIAF","Low","131B00000009QMCIA2","Rondel Store - Chicago South Loop","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08sKAC","0YQB0000000L0C3OAK","1",5
"001B000001AQUOuIAP","Truck",,"003B000000H1QcSIAV","High","131B00000009QMDIA2","Rondel Store - Evanston","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08vKAC","0YQB0000000L0C4OAK","1",2
"001B000001AQUOuIAP","Van",,"003B000000H1QcNIAV","Medium","131B00000009QMIIA2","Alpine Nutrition Outlet (Hayward)","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08vKAC","0YQB0000000L0C9OAK","1",3
"001B000001AQUOuIAP","Van",,"003B000000H1QcOIAV","Low","131B00000009QMJIA2","Alpine Nutrition - San Francisco","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08uKAC","0YQB0000000L0CAOA0","1",5
"001B000001AQUOuIAP","Van",,"003B000000H1QcIIAV","Low","131B00000009QMSIA2","Nutrition Stop - Hillsdale","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08tKAC","0YQB0000000L0CBOA0","1",5
"001B000001AQUOvIAP","Van",,"003B000000H1QcLIAV","Low","131B00000009QMFIA2","Alpine Nutrition - Glendale","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08tKAC","0YQB0000000L0C6OAK","1",3
"001B000001AQUOvIAP","Van",,"003B000000H1QcQIAV","Low","131B00000009QMGIA2","Alpine Nutrition - Noe Valley","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08wKAC","0YQB0000000L0C7OAK","1",7
"001B000001AQUOvIAP","Van",,"003B000000H1QcaIAF","Low","131B00000009QMNIA2","Fare Merchants - Irving","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08uKAC","0YQB0000000L0CFOA0","1",7
"001B000001AQUOvIAP","Van",,"003B000000H1QcVIAV","High","131B00000009QMOIA2","NTO Store - Ferry Plaza Market","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08tKAC","0YQB0000000L0CGOA0","1",1
"001B000001AQUOvIAP","Van",,"003B000000H1QcGIAV","Low","131B00000009QMRIA2","Fare Merchants - Austin","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08vKAC","0YQB0000000L0CJOA0","1",5
"001B000001AQUOwIAP","Van",,"003B000000H1QcZIAV","Low","131B00000009QM4IAM","Fare Merchants - Brooklyn","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08uKAC","0YQB0000000L0BvOAK","1",5
"001B000001AQUOwIAP","Truck",,"003B000000H1QcUIAV","High","131B00000009QM5IAM","Fare Merchants - Gold Coast","Regular","005B0000006NoPnIAK","01tB0000000UI8UIAW_Kelloggs Muesli","0Y2B0000000L08tKAC","0YQB0000000L0BwOAK","1",2
