"Owner_SmallPhotoUrl","Category","Description","Owner_City","Owner_Department","IsActive","Owner_Role_RolePath","Owner_Email","Owner_UniqueUserName","Name","Owner_Country","StartDate","Owner_Phone","OwnerId","CampaignId","Owner_State","EndDate_Computed","Owner_Division","IsDeleted","EndDate","Owner_FullPhotoUrl","Owner_Name","SystemModstamp","Objective","Owner_Role_Roles","CreatedDate","Level","Id","Methods"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Pubicity","Description of Dmart Store Promotion 8","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 8","US","2018-01-05 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-02 00:00:00",,"false","2020-06-02 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 8",,"2019-12-24 13:47:20","Product","0c8B0000000L08AIAS","Gifts"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Sales Promotion","Description of Dmart Store Promotion 23","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 23","US","2018-01-05 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-05 00:00:00",,"false","2020-06-05 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 23",,"2019-12-24 13:47:20","Product","0c8B0000000L08PIAS","Coupons"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Pubicity","Description of Dmart Store Promotion 24","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 24","US","2018-01-06 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-02 00:00:00",,"false","2020-06-02 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 24",,"2019-12-24 13:47:20","Product Category","0c8B0000000L08QIAS","Sampling and Demonstration"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Sales Promotion","Description of Dmart Store Promotion 17","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 17","US","2018-01-04 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-03 00:00:00",,"false","2020-06-03 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 17",,"2019-12-24 13:47:20","Product Category","0c8B0000000L08JIAS","Free Services"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Advertising","Description of Dmart Store Promotion 5","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 5","US","2018-01-05 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-06 00:00:00",,"false","2020-06-06 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 5",,"2019-12-24 13:47:20","Product Category","0c8B0000000L087IAC","Trade Show"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Pubicity","Description of Dmart Store Promotion 19","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 19","US","2018-01-04 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-04 00:00:00",,"false","2020-06-04 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 19",,"2019-12-24 13:47:20","Product","0c8B0000000L08LIAS","Credit Facility"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Personal Selling","Description of Dmart Store Promotion 42","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 42","US","2018-01-02 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-03 00:00:00",,"false","2020-06-03 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 42",,"2019-12-24 13:47:20","Product Category","0c8B0000000L08iIAC","Discounts"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Personal Selling","Description of Dmart Store Promotion 46","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 46","US","2018-01-06 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-04 00:00:00",,"false","2020-06-04 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 46",,"2019-12-24 13:47:20","Product","0c8B0000000L08mIAC","Exchange Offer"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Advertising","Description of Dmart Store Promotion 15","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 15","US","2018-01-05 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-06 00:00:00",,"false","2020-06-06 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 15",,"2019-12-24 13:47:20","Product Category","0c8B0000000L08HIAS","Trade Show"
"https://divyasharma--c.documentforce.com/profilephoto/005/T","Advertising","Description of Dmart Store Promotion 1","San Francisco",,"true",,"industriesengineeringdevops@salesforce.com","Admin User","Dmart Store Promotion 1","US","2018-01-06 00:00:00",,"005B0000006NoPnIAK",,"CA","2020-06-03 00:00:00",,"false","2020-06-03 00:00:00","https://divyasharma--c.documentforce.com/profilephoto/005/F","Admin User","2019-12-24 13:47:20","Objective of Dmart Store Promotion 1",,"2019-12-24 13:47:20","Product","0c8B0000000L083IAC","Display and Exhibition"
