"Country","Emissions_Factor_Update_Year","Market_Based_CO2e_Emission_Factor_t_MWh","Market_Based_Renewable_Energy_Excluding_Hydroelectricity_Percentage","Emission_Factor_t_MWh"
"USA",2016,0.459977,14.2,0.457745
"JPN",2020,0.50206,0,0.5001
"USA",2019,0.396785,21,0
"USA",2019,0.222399,3,0
"CHN",2020,0.615715,0,0.6128
"USA",2019,0.478739,9,0
"BRA",2020,0.099778,0,0.0996
"CUB",2020,0.48301,0,0.4802
"THA",2020,0.484527,0,0.4798
"USA",2019,0.259113,10,0
"USA",2016,0.194994,34.6,0.239434
"USA",2016,0.240353,24.6,0.239434
"ARM",2019,0.227462,0,0
"ARG",2019,0.313809,3,0
"AUT",2019,0.190636,24,0
"AUS",2019,0.724686,6,0
"AUS",2019,0.301808,40,0
"AUS",2019,0.113305,13,0
"AUS",2019,0.664976,13,0
"BIH",2019,0.535926,1,0
"BEL",2019,0.199844,18,0
"CAN",2019,0.183595,100,0
"DNK",2019,0.201815,55,0
"DNK",2019,0.186442,57,0
"DOM",2019,0.539201,6,0
"ESP",2019,0.575551,11,0
"ESP",2019,0.472226,17,0
"ESP",2019,0.284803,57,0
"ESP",2019,0.65,0,0
"ESP",2019,0.459706,19,0
"GBR",2019,0.087104,7,0
"GBR",2019,0.253657,28,0
"IRL",2019,0.340852,38,0
"IND",2019,0.391442,28,0
"IND",2019,0.650716,5,0
"IRQ",2019,0.492565,0,0
"ISL",2019,0.028397,30,0
"ITA",2019,0.290831,33,0
"ITA",2019,0.329403,8,0
"ITA",2019,0.355981,31,0
"ITA",2019,0.367412,32,0
"JPN",2019,0.456252,8,0
"JPN",2019,0.481177,6,0
"JPN",2019,0.447737,6,0
"JPN",2019,0.387054,14,0
"JPN",2019,0.463782,10,0
"JPN",2019,0.544099,13,0
"MDA",2019,0.594692,0,0
"MNE",2019,0.457322,5,0
"MKD",2019,0.580299,3,0
"MYS",2019,0.660774,0,0
"NZL",2019,0.024882,1,0
"PAN",2019,0.382452,7,0
"PER",2019,0.185689,5,0
"POL",2019,0.650295,14,0
"ROU",2019,0.287317,13,0
"RUS",2019,0.355966,0,0
"RUS",2019,0.409574,0,0
"SWE",2019,0.047685,12,0
"SGP",2019,0.493471,0,0
"SVK",2019,0.268523,7,0
"SLV",2019,0.247435,40,0
"TUR",2019,0.427047,11,0
"TWN",2019,0.541068,3,0
"USA",2019,0.220825,2,0
"USA",2019,0.589539,6,0
"USA",2019,0.378772,11,0
"USA",2019,0.274201,1,0
"USA",2019,0.499543,1,0
"USA",2019,0.420797,3,0
"USA",2019,0.058394,0,0
"USA",2019,0.404862,28,0
"USA",2019,0.550018,1,0
"USA",2019,0.479806,1,0
"USA",2019,0.678932,0,0
"USA",2019,0.473844,1,0
"USA",2019,0.628733,10,0
"USA",2019,0.315649,18,0
"USA",2019,0.607211,6,0
"USA",2019,0.802653,0,0
"USA",2019,0.502743,9,0
"USA",2019,0.209863,6,0
"USA",2019,0.079307,13,0
"USA",2019,0.050477,1,0
"USA",2019,0.489148,0,0
"USA",2019,0.016319,83,0
"USA",2019,0.311608,15,0
"USA",2019,0.48078,8,0
"USA",2019,0.560606,14,0
"USA",2019,0.359585,11,0
"USA",2019,0.269251,6,0
"USA",2019,0.538052,0,0
"USA",2019,0.125257,0,0
"USA",2019,0.412612,27,0
"USA",2019,0.272391,4,0
"USA",2019,0.49,0,0
"USA",2019,0.475964,10,0
